No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.280,1,33
2,00:00:01.320,00:00:03.200,34,81
3,00:00:03.240,00:00:04.680,82,118
4,00:00:04.720,00:00:06.920,119,174
5,00:00:06.960,00:00:09.320,175,234
6,00:00:09.360,00:00:11.080,235,278
7,00:00:11.120,00:00:13.360,279,335
8,00:00:13.400,00:00:14.440,336,362
9,00:00:14.480,00:00:15.480,363,388
10,00:00:15.520,00:00:16.480,389,413
11,00:00:16.520,00:00:17.400,414,436
12,00:00:17.440,00:00:17.800,437,446
13,00:00:17.840,00:00:19.440,447,487
14,00:00:19.480,00:00:20.120,488,504
15,00:00:20.160,00:00:22.080,505,553
16,00:00:22.120,00:00:23.800,554,596
17,00:00:23.840,00:00:25.760,597,645
18,00:00:25.800,00:00:27.320,646,684
19,00:00:27.360,00:00:30.640,685,767
20,00:00:30.680,00:00:33.440,768,837
21,00:00:33.480,00:00:35.120,838,879
22,00:00:35.160,00:00:36.560,880,915
23,00:00:36.600,00:00:38.800,916,971
24,00:00:38.840,00:00:40.640,972,1017
25,00:00:40.680,00:00:42.400,1018,1061
26,00:00:42.440,00:00:50.240,1062,1257
27,00:00:50.280,00:00:52.080,1258,1303
28,00:00:52.120,00:00:53.800,1304,1346
29,00:00:53.840,00:00:55.080,1347,1378
30,00:00:55.120,00:00:57.240,1379,1432
31,00:00:57.280,00:00:59.400,1433,1486
32,00:00:59.440,00:01:01.280,1487,1533
