No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.040,1,27
2,00:00:01.080,00:00:02.320,28,59
3,00:00:02.360,00:00:04.360,60,110
4,00:00:04.400,00:00:12.920,111,324
5,00:00:12.960,00:00:13.880,325,348
6,00:00:13.920,00:00:15.280,349,383
7,00:00:15.320,00:00:19.240,384,482
8,00:00:19.280,00:00:25.400,483,636
9,00:00:25.440,00:00:28.000,637,701
10,00:00:28.040,00:00:29.360,702,735
11,00:00:29.400,00:00:34.320,736,859
12,00:00:34.360,00:00:36.360,860,910
13,00:00:36.400,00:00:39.080,911,978
14,00:00:39.120,00:00:45.120,979,1129
15,00:00:45.160,00:00:51.160,1130,1280
16,00:00:51.200,00:00:55.920,1281,1399
17,00:00:55.960,00:00:56.920,1400,1424
18,00:00:56.960,00:00:58.800,1425,1471
19,00:00:58.840,00:01:01.760,1472,1545
20,00:01:01.800,00:01:02.640,1546,1567
21,00:01:02.680,00:01:06.440,1568,1662
22,00:01:06.480,00:01:08.000,1663,1701
23,00:01:08.040,00:01:08.880,1702,1723
24,00:01:08.920,00:01:10.040,1724,1752
25,00:01:10.080,00:01:11.520,1753,1789
26,00:01:11.560,00:01:12.240,1790,1807
27,00:01:12.280,00:01:17.000,1808,1926
28,00:01:17.040,00:01:21.800,1927,2046
29,00:01:21.840,00:01:22.760,2047,2070
30,00:01:22.800,00:01:27.640,2071,2192
