No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.000,1,26
2,00:00:01.040,00:00:03.560,27,90
3,00:00:03.600,00:00:06.880,91,173
4,00:00:06.920,00:00:09.160,174,230
5,00:00:09.200,00:00:12.000,231,301
6,00:00:12.040,00:00:14.480,302,363
7,00:00:14.520,00:00:19.200,364,481
8,00:00:19.240,00:00:28.200,482,706
9,00:00:28.240,00:00:32.160,707,805
10,00:00:32.200,00:00:35.040,806,877
11,00:00:35.080,00:00:37.520,878,939
12,00:00:37.560,00:00:43.960,940,1100
13,00:00:44.000,00:00:48.160,1101,1205
14,00:00:48.200,00:00:50.680,1206,1268
15,00:00:50.720,00:00:55.760,1269,1395
16,00:00:55.800,00:01:11.080,1396,1778
17,00:01:11.120,00:01:17.440,1779,1937
18,00:01:17.480,00:01:23.000,1938,2076
19,00:01:23.040,00:01:26.920,2077,2174
20,00:01:26.960,00:01:31.080,2175,2278
21,00:01:31.120,00:01:39.680,2279,2493
22,00:01:39.720,00:01:46.120,2494,2654
23,00:01:46.160,00:01:49.440,2655,2737
