No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.760,1,20
2,00:00:00.800,00:00:04.120,21,104
3,00:00:04.160,00:00:06.600,105,166
4,00:00:06.640,00:00:09.040,167,227
5,00:00:09.080,00:00:13.680,228,343
6,00:00:13.720,00:00:16.480,344,413
7,00:00:16.520,00:00:18.680,414,468
8,00:00:18.720,00:00:21.640,469,542
9,00:00:21.680,00:00:24.720,543,619
10,00:00:24.760,00:00:27.240,620,682
11,00:00:27.280,00:00:29.720,683,744
12,00:00:29.760,00:00:32.520,745,814
13,00:00:32.560,00:00:36.320,815,909
14,00:00:36.360,00:00:39.160,910,980
15,00:00:39.200,00:00:42.720,981,1069
16,00:00:42.760,00:00:45.880,1070,1148
17,00:00:45.920,00:00:52.480,1149,1313
18,00:00:52.520,00:00:54.960,1314,1375
19,00:00:55.000,00:00:57.840,1376,1447
20,00:00:57.880,00:01:00.720,1448,1519
21,00:01:00.760,00:01:03.760,1520,1595
22,00:01:03.800,00:01:08.040,1596,1702
23,00:01:08.080,00:01:13.600,1703,1841
24,00:01:13.640,00:01:23.600,1842,2091
25,00:01:23.640,00:01:27.560,2092,2190
26,00:01:27.600,00:01:30.360,2191,2260
27,00:01:30.400,00:01:33.560,2261,2340
28,00:01:33.600,00:01:36.040,2341,2402
29,00:01:36.080,00:01:39.480,2403,2488
30,00:01:39.520,00:01:43.880,2489,2598
31,00:01:43.920,00:01:47.320,2599,2684
32,00:01:47.360,00:01:51.560,2685,2790
33,00:01:51.600,00:01:53.960,2791,2850
34,00:01:54.000,00:02:00.840,2851,3022
35,00:02:00.880,00:02:02.920,3023,3074
