No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.280,1,83
2,00:00:03.320,00:00:17.160,84,430
3,00:00:17.200,00:00:26.120,431,654
4,00:00:26.160,00:00:28.320,655,709
5,00:00:28.360,00:00:30.720,710,769
6,00:00:30.760,00:00:33.200,770,831
7,00:00:33.240,00:00:37.880,832,948
8,00:00:37.920,00:00:47.200,949,1181
9,00:00:47.240,00:00:49.520,1182,1239
10,00:00:49.560,00:00:53.160,1240,1330
11,00:00:53.200,00:00:54.520,1331,1364
12,00:00:54.560,00:00:57.840,1365,1447
