No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.040,1,152
2,00:00:06.080,00:00:14.400,153,361
3,00:00:14.440,00:00:15.760,362,395
4,00:00:15.800,00:00:17.680,396,443
5,00:00:17.720,00:00:19.840,444,497
6,00:00:19.880,00:00:21.080,498,528
7,00:00:21.120,00:00:23.560,529,590
8,00:00:23.600,00:00:26.280,591,658
9,00:00:26.320,00:00:28.360,659,710
10,00:00:28.400,00:00:31.000,711,776
11,00:00:31.040,00:00:33.120,777,829
12,00:00:33.160,00:00:35.800,830,896
13,00:00:35.840,00:00:37.760,897,945
14,00:00:37.800,00:00:39.400,946,986
15,00:00:39.440,00:00:41.280,987,1033
16,00:00:41.320,00:00:46.240,1034,1157
