No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.120,1,79
2,00:00:03.160,00:00:05.000,80,126
3,00:00:05.040,00:00:09.520,127,239
4,00:00:09.560,00:00:13.880,240,348
5,00:00:13.920,00:00:15.400,349,386
6,00:00:15.440,00:00:19.400,387,486
7,00:00:19.440,00:00:24.160,487,605
8,00:00:24.200,00:00:29.240,606,732
9,00:00:29.280,00:00:32.720,733,819
10,00:00:32.760,00:00:44.320,820,1109
11,00:00:44.360,00:00:51.680,1110,1293
12,00:00:51.720,00:00:53.960,1294,1350
13,00:00:54.000,00:01:00.040,1351,1502
14,00:01:00.080,00:01:06.120,1503,1654
15,00:01:06.160,00:01:09.480,1655,1738
16,00:01:09.520,00:01:17.360,1739,1935
17,00:01:17.400,00:01:26.320,1936,2159
18,00:01:26.360,00:01:31.400,2160,2286
19,00:01:31.440,00:01:34.240,2287,2357
20,00:01:34.280,00:01:47.160,2358,2680
21,00:01:47.200,00:02:00.120,2681,3004
22,00:02:00.160,00:02:04.840,3005,3122
23,00:02:04.880,00:02:15.880,3123,3398
24,00:02:15.920,00:02:22.560,3399,3565
25,00:02:22.600,00:02:24.200,3566,3606
26,00:02:24.240,00:02:29.040,3607,3727
27,00:02:29.080,00:02:30.480,3728,3763
28,00:02:30.520,00:02:33.640,3764,3842
29,00:02:33.680,00:02:36.360,3843,3910
30,00:02:36.400,00:02:38.520,3911,3964
31,00:02:38.560,00:02:40.520,3965,4014
32,00:02:40.560,00:02:43.120,4015,4079
33,00:02:43.160,00:02:44.520,4080,4114
34,00:02:44.560,00:02:51.760,4115,4295
35,00:02:51.800,00:02:54.080,4296,4353
36,00:02:54.120,00:02:56.280,4354,4408
37,00:02:56.320,00:02:58.680,4409,4468
38,00:02:58.720,00:03:00.960,4469,4525
39,00:03:01.000,00:03:01.720,4526,4544
