No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.040,1,2
2,00:00:00.080,00:00:03.600,3,91
3,00:00:03.640,00:00:06.240,92,157
4,00:00:06.280,00:00:11.000,158,276
5,00:00:11.040,00:00:17.720,277,444
6,00:00:17.760,00:00:21.440,445,537
7,00:00:21.480,00:00:26.000,538,651
8,00:00:26.040,00:00:28.200,652,706
9,00:00:28.240,00:00:30.520,707,764
10,00:00:30.560,00:00:34.000,765,851
11,00:00:34.040,00:00:37.000,852,926
12,00:00:37.040,00:00:43.200,927,1081
13,00:00:43.240,00:00:50.240,1082,1257
14,00:00:50.280,00:00:52.560,1258,1315
15,00:00:52.600,00:00:54.720,1316,1369
16,00:00:54.760,00:00:56.440,1370,1412
17,00:00:56.480,00:00:58.480,1413,1463
18,00:00:58.520,00:01:00.920,1464,1524
19,00:01:00.960,00:01:03.280,1525,1583
20,00:01:03.320,00:01:06.920,1584,1674
21,00:01:06.960,00:01:08.920,1675,1724
22,00:01:08.960,00:01:11.800,1725,1796
23,00:01:11.840,00:01:17.320,1797,1934
24,00:01:17.360,00:01:18.720,1935,1969
25,00:01:18.760,00:01:21.480,1970,2038
26,00:01:21.520,00:01:24.040,2039,2102
27,00:01:24.080,00:01:26.360,2103,2160
28,00:01:26.400,00:01:28.880,2161,2223
29,00:01:28.920,00:01:31.400,2224,2286
30,00:01:31.440,00:01:33.280,2287,2333
31,00:01:33.320,00:01:34.400,2334,2361
32,00:01:34.440,00:01:37.040,2362,2427
33,00:01:37.080,00:01:41.560,2428,2540
34,00:01:41.600,00:01:44.960,2541,2625
35,00:01:45.000,00:01:49.280,2626,2733
36,00:01:49.320,00:01:51.800,2734,2796
37,00:01:51.840,00:01:53.920,2797,2849
38,00:01:53.960,00:01:55.160,2850,2880
39,00:01:55.200,00:01:58.960,2881,2975
40,00:01:59.000,00:02:02.280,2976,3058
41,00:02:02.320,00:02:12.880,3059,3323
42,00:02:12.920,00:02:15.640,3324,3392
43,00:02:15.680,00:02:17.000,3393,3426
44,00:02:17.040,00:02:20.080,3427,3503
45,00:02:20.120,00:02:24.520,3504,3614
46,00:02:24.560,00:02:27.080,3615,3678
47,00:02:27.120,00:02:29.000,3679,3726
48,00:02:29.040,00:02:30.200,3727,3756
49,00:02:30.240,00:02:33.680,3757,3843
50,00:02:33.720,00:02:35.080,3844,3878
51,00:02:35.120,00:02:36.480,3879,3913
52,00:02:36.520,00:02:37.440,3914,3937
53,00:02:37.480,00:02:40.760,3938,4020
54,00:02:40.800,00:02:43.440,4021,4087
55,00:02:43.480,00:02:51.480,4088,4288
56,00:02:51.520,00:02:53.160,4289,4330
57,00:02:53.200,00:02:54.840,4331,4372
58,00:02:54.880,00:02:57.640,4373,4442
59,00:02:57.680,00:03:00.200,4443,4506
60,00:03:00.240,00:03:02.640,4507,4567
