No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.320,1,134
2,00:00:05.360,00:00:07.480,135,188
3,00:00:07.520,00:00:13.840,189,347
4,00:00:13.880,00:00:18.880,348,473
5,00:00:18.920,00:00:21.360,474,535
6,00:00:21.400,00:00:22.240,536,557
7,00:00:22.280,00:00:24.440,558,612
8,00:00:24.480,00:00:30.880,613,773
9,00:00:30.920,00:00:36.760,774,920
10,00:00:36.800,00:00:40.000,921,1001
11,00:00:40.040,00:00:41.720,1002,1044
12,00:00:41.760,00:00:43.600,1045,1091
13,00:00:43.640,00:00:45.720,1092,1144
14,00:00:45.760,00:00:46.760,1145,1170
15,00:00:46.800,00:00:48.880,1171,1223
16,00:00:48.920,00:00:50.800,1224,1271
17,00:00:50.840,00:00:52.760,1272,1320
18,00:00:52.800,00:00:55.800,1321,1396
19,00:00:55.840,00:00:59.800,1397,1496
20,00:00:59.840,00:01:02.120,1497,1554
21,00:01:02.160,00:01:04.640,1555,1617
22,00:01:04.680,00:01:07.600,1618,1691
23,00:01:07.640,00:01:11.160,1692,1780
24,00:01:11.200,00:01:12.800,1781,1821
25,00:01:12.840,00:01:15.840,1822,1897
26,00:01:15.880,00:01:19.480,1898,1988
27,00:01:19.520,00:01:24.200,1989,2106
28,00:01:24.240,00:01:25.600,2107,2141
29,00:01:25.640,00:01:27.560,2142,2190
30,00:01:27.600,00:01:28.360,2191,2210
31,00:01:28.400,00:01:33.200,2211,2331
32,00:01:33.240,00:01:35.600,2332,2391
33,00:01:35.640,00:01:43.400,2392,2586
34,00:01:43.440,00:01:45.200,2587,2631
35,00:01:45.240,00:01:48.840,2632,2722
36,00:01:48.880,00:01:51.480,2723,2788
37,00:01:51.520,00:01:53.080,2789,2828
38,00:01:53.120,00:01:54.680,2829,2868
39,00:01:54.720,00:01:56.760,2869,2920
40,00:01:56.800,00:01:58.680,2921,2968
41,00:01:58.720,00:02:00.720,2969,3019
42,00:02:00.760,00:02:03.880,3020,3098
43,00:02:03.920,00:02:13.960,3099,3350
44,00:02:14.000,00:02:16.760,3351,3420
45,00:02:16.800,00:02:19.840,3421,3497
46,00:02:19.880,00:02:22.720,3498,3569
47,00:02:22.760,00:02:24.680,3570,3618
48,00:02:24.720,00:02:26.560,3619,3665
49,00:02:26.600,00:02:28.920,3666,3724
50,00:02:28.960,00:02:31.040,3725,3777
51,00:02:31.080,00:02:32.560,3778,3815
52,00:02:32.600,00:02:34.680,3816,3868
53,00:02:34.720,00:02:36.840,3869,3922
54,00:02:36.880,00:02:38.680,3923,3968
55,00:02:38.720,00:02:40.720,3969,4019
56,00:02:40.760,00:02:42.920,4020,4074
57,00:02:42.960,00:02:44.280,4075,4108
58,00:02:44.320,00:02:45.360,4109,4135
59,00:02:45.400,00:02:46.800,4136,4171
60,00:02:46.840,00:02:47.880,4172,4198
61,00:02:47.920,00:02:49.160,4199,4230
62,00:02:49.200,00:02:51.000,4231,4276
63,00:02:51.040,00:02:52.560,4277,4315
64,00:02:52.600,00:02:54.120,4316,4354
65,00:02:54.160,00:02:55.400,4355,4386
66,00:02:55.440,00:02:58.880,4387,4473
67,00:02:58.920,00:03:00.480,4474,4513
