No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:15.880,1,398
2,00:00:15.920,00:00:17.760,399,445
3,00:00:17.800,00:00:21.720,446,544
4,00:00:21.760,00:00:24.320,545,609
5,00:00:24.360,00:00:28.240,610,707
6,00:00:28.280,00:00:29.960,708,750
7,00:00:30.000,00:00:36.680,751,918
8,00:00:36.720,00:00:40.040,919,1002
9,00:00:40.080,00:00:40.600,1003,1016
10,00:00:40.640,00:00:43.440,1017,1087
11,00:00:43.480,00:00:44.920,1088,1124
12,00:00:44.960,00:00:46.120,1125,1154
13,00:00:46.160,00:00:48.800,1155,1221
14,00:00:48.840,00:00:50.040,1222,1252
15,00:00:50.080,00:00:51.840,1253,1297
16,00:00:51.880,00:00:54.040,1298,1352
17,00:00:54.080,00:00:56.680,1353,1418
18,00:00:56.720,00:01:00.440,1419,1512
19,00:01:00.480,00:01:02.160,1513,1555
20,00:01:02.200,00:01:05.800,1556,1646
21,00:01:05.840,00:01:07.160,1647,1680
22,00:01:07.200,00:01:10.760,1681,1770
23,00:01:10.800,00:01:13.320,1771,1834
24,00:01:13.360,00:01:24.080,1835,2103
25,00:01:24.120,00:01:27.640,2104,2192
26,00:01:27.680,00:01:30.560,2193,2265
27,00:01:30.600,00:01:32.080,2266,2303
28,00:01:32.120,00:01:35.440,2304,2387
29,00:01:35.480,00:01:36.680,2388,2418
30,00:01:36.720,00:01:40.000,2419,2501
31,00:01:40.040,00:01:43.360,2502,2585
32,00:01:43.400,00:01:45.320,2586,2634
33,00:01:45.360,00:01:47.400,2635,2686
34,00:01:47.440,00:02:07.440,2687,3187
35,00:02:07.480,00:02:13.040,3188,3327
36,00:02:13.080,00:02:19.240,3328,3482
37,00:02:19.280,00:02:20.320,3483,3509
38,00:02:20.360,00:02:33.800,3510,3846
39,00:02:33.840,00:02:35.560,3847,3890
40,00:02:35.600,00:02:38.600,3891,3966
41,00:02:38.640,00:02:57.560,3967,4440
42,00:02:57.600,00:02:59.520,4441,4489
43,00:02:59.560,00:03:01.520,4490,4539
44,00:03:01.560,00:03:01.960,4540,4550
