No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.880,1,48
2,00:00:01.920,00:00:10.240,49,257
3,00:00:10.280,00:00:16.040,258,402
4,00:00:16.080,00:00:17.360,403,435
5,00:00:17.400,00:00:22.160,436,555
6,00:00:22.200,00:00:28.280,556,708
7,00:00:28.320,00:00:38.560,709,965
8,00:00:38.600,00:00:41.080,966,1028
9,00:00:41.120,00:00:46.640,1029,1167
10,00:00:46.680,00:00:50.360,1168,1260
11,00:00:50.400,00:00:53.840,1261,1347
12,00:00:53.880,00:00:57.760,1348,1445
13,00:00:57.800,00:01:11.200,1446,1781
14,00:01:11.240,00:01:16.800,1782,1921
15,00:01:16.840,00:01:19.360,1922,1985
16,00:01:19.400,00:01:22.320,1986,2059
17,00:01:22.360,00:01:26.560,2060,2165
18,00:01:26.600,00:01:30.240,2166,2257
