No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:25.040,1,627
2,00:00:25.080,00:00:27.280,628,683
3,00:00:27.320,00:00:30.360,684,760
4,00:00:30.400,00:00:31.960,761,800
5,00:00:32.000,00:00:55.400,801,1386
6,00:00:55.440,00:00:56.800,1387,1421
7,00:00:56.840,00:01:13.120,1422,1829
8,00:01:13.160,00:01:16.720,1830,1919
9,00:01:16.760,00:01:21.600,1920,2041
10,00:01:21.640,00:01:24.600,2042,2116
11,00:01:24.640,00:01:26.480,2117,2163
12,00:01:26.520,00:01:48.000,2164,2701
13,00:01:48.040,00:01:50.680,2702,2768
14,00:01:50.720,00:02:10.640,2769,3267
15,00:02:10.680,00:02:14.840,3268,3372
16,00:02:14.880,00:02:18.640,3373,3467
17,00:02:18.680,00:02:22.600,3468,3566
18,00:02:22.640,00:02:28.120,3567,3704
19,00:02:28.160,00:02:29.240,3705,3732
20,00:02:29.280,00:02:35.960,3733,3900
21,00:02:36.000,00:02:38.440,3901,3962
22,00:02:38.480,00:02:43.680,3963,4093
23,00:02:43.720,00:02:46.240,4094,4157
24,00:02:46.280,00:02:48.560,4158,4215
25,00:02:48.600,00:02:52.080,4216,4303
26,00:02:52.120,00:02:57.000,4304,4426
27,00:02:57.040,00:02:58.840,4427,4472
28,00:02:58.880,00:03:00.720,4473,4519
29,00:03:00.760,00:03:04.320,4520,4609
30,00:03:04.360,00:03:06.320,4610,4659
31,00:03:06.360,00:03:08.040,4660,4702
