No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.040,1,52
2,00:00:02.080,00:00:04.440,53,112
3,00:00:04.480,00:00:05.720,113,144
4,00:00:05.760,00:00:17.040,145,427
5,00:00:17.080,00:00:18.880,428,473
6,00:00:18.920,00:00:21.240,474,532
7,00:00:21.280,00:00:23.480,533,588
8,00:00:23.520,00:00:28.600,589,716
9,00:00:28.640,00:00:30.880,717,773
10,00:00:30.920,00:00:32.880,774,823
11,00:00:32.920,00:00:35.920,824,899
12,00:00:35.960,00:00:37.800,900,946
13,00:00:37.840,00:00:43.960,947,1100
14,00:00:44.000,00:00:45.200,1101,1131
15,00:00:45.240,00:00:48.280,1132,1208
16,00:00:48.320,00:00:50.640,1209,1267
17,00:00:50.680,00:00:52.760,1268,1320
18,00:00:52.800,00:00:54.640,1321,1367
19,00:00:54.680,00:00:56.640,1368,1417
20,00:00:56.680,00:01:06.200,1418,1656
21,00:01:06.240,00:01:10.400,1657,1761
22,00:01:10.440,00:01:15.320,1762,1884
23,00:01:15.360,00:01:17.000,1885,1926
24,00:01:17.040,00:01:19.560,1927,1990
25,00:01:19.600,00:01:44.320,1991,2609
26,00:01:44.360,00:01:48.200,2610,2706
27,00:01:48.240,00:01:51.920,2707,2799
28,00:01:51.960,00:01:54.680,2800,2868
29,00:01:54.720,00:01:56.440,2869,2912
30,00:01:56.480,00:01:58.560,2913,2965
31,00:01:58.600,00:02:00.960,2966,3025
32,00:02:01.000,00:02:03.680,3026,3093
33,00:02:03.720,00:02:10.840,3094,3272
34,00:02:10.880,00:02:12.640,3273,3317
35,00:02:12.680,00:02:27.960,3318,3700
36,00:02:28.000,00:02:30.480,3701,3763
37,00:02:30.520,00:02:38.840,3764,3972
38,00:02:38.880,00:02:41.400,3973,4036
39,00:02:41.440,00:02:47.800,4037,4196
40,00:02:47.840,00:02:49.320,4197,4234
41,00:02:49.360,00:02:58.280,4235,4458
42,00:02:58.320,00:03:00.200,4459,4506
43,00:03:00.240,00:03:02.800,4507,4571
44,00:03:02.840,00:03:05.440,4572,4637
45,00:03:05.480,00:03:06.760,4638,4670
