No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:08.160,1,205
2,00:00:08.200,00:00:14.360,206,360
3,00:00:14.400,00:00:16.560,361,415
4,00:00:16.600,00:00:18.920,416,474
5,00:00:18.960,00:00:21.920,475,549
6,00:00:21.960,00:00:24.600,550,616
7,00:00:24.640,00:00:26.520,617,664
8,00:00:26.560,00:00:29.680,665,743
9,00:00:29.720,00:00:33.240,744,832
10,00:00:33.280,00:00:36.680,833,918
11,00:00:36.720,00:00:38.760,919,970
12,00:00:38.800,00:00:45.320,971,1134
13,00:00:45.360,00:00:50.800,1135,1271
14,00:00:50.840,00:00:55.040,1272,1377
15,00:00:55.080,00:00:59.000,1378,1476
16,00:00:59.040,00:01:02.720,1477,1569
17,00:01:02.760,00:01:05.040,1570,1627
18,00:01:05.080,00:01:06.320,1628,1659
19,00:01:06.360,00:01:08.080,1660,1703
20,00:01:08.120,00:01:09.640,1704,1742
21,00:01:09.680,00:01:13.080,1743,1828
22,00:01:13.120,00:01:14.520,1829,1864
23,00:01:14.560,00:01:36.640,1865,2417
24,00:01:36.680,00:01:39.520,2418,2489
25,00:01:39.560,00:01:43.200,2490,2581
26,00:01:43.240,00:01:45.160,2582,2630
27,00:01:45.200,00:01:48.120,2631,2704
28,00:01:48.160,00:01:49.120,2705,2729
29,00:01:49.160,00:01:58.360,2730,2960
30,00:01:58.400,00:01:59.720,2961,2994
31,00:01:59.760,00:01:59.760,2995,2995
32,00:01:59.800,00:02:01.120,2996,3029
33,00:02:01.160,00:02:03.320,3030,3084
34,00:02:03.360,00:02:06.880,3085,3173
35,00:02:06.920,00:02:18.840,3174,3472
36,00:02:18.880,00:02:19.840,3473,3497
37,00:02:19.880,00:02:22.120,3498,3554
38,00:02:22.160,00:02:26.000,3555,3651
39,00:02:26.040,00:02:27.560,3652,3690
40,00:02:27.600,00:02:29.000,3691,3726
41,00:02:29.040,00:02:30.960,3727,3775
42,00:02:31.000,00:02:34.880,3776,3873
43,00:02:34.920,00:02:36.240,3874,3907
44,00:02:36.280,00:02:40.240,3908,4007
45,00:02:40.280,00:03:06.320,4008,4659
46,00:03:06.360,00:03:08.480,4660,4713
47,00:03:08.520,00:03:08.560,4714,4715
