No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.400,1,61
2,00:00:02.440,00:00:08.680,62,218
3,00:00:08.720,00:00:10.520,219,264
4,00:00:10.560,00:00:13.760,265,345
5,00:00:13.800,00:00:16.640,346,417
6,00:00:16.680,00:00:18.160,418,455
7,00:00:18.200,00:00:21.160,456,530
8,00:00:21.200,00:00:23.360,531,585
9,00:00:23.400,00:00:27.480,586,688
10,00:00:27.520,00:00:29.080,689,728
11,00:00:29.120,00:00:31.040,729,777
12,00:00:31.080,00:00:33.640,778,842
13,00:00:33.680,00:00:35.400,843,886
14,00:00:35.440,00:00:39.560,887,990
15,00:00:39.600,00:00:42.560,991,1065
16,00:00:42.600,00:00:44.080,1066,1103
17,00:00:44.120,00:00:45.320,1104,1134
18,00:00:45.360,00:00:47.640,1135,1192
19,00:00:47.680,00:00:52.720,1193,1319
20,00:00:52.760,00:00:54.200,1320,1356
21,00:00:54.240,00:00:55.480,1357,1388
22,00:00:55.520,00:00:58.280,1389,1458
23,00:00:58.320,00:01:04.640,1459,1617
24,00:01:04.680,00:01:09.120,1618,1729
25,00:01:09.160,00:01:10.600,1730,1766
26,00:01:10.640,00:01:12.080,1767,1803
27,00:01:12.120,00:01:13.760,1804,1845
28,00:01:13.800,00:01:18.280,1846,1958
29,00:01:18.320,00:01:21.360,1959,2035
30,00:01:21.400,00:01:23.440,2036,2087
31,00:01:23.480,00:01:26.920,2088,2174
32,00:01:26.960,00:01:29.480,2175,2238
33,00:01:29.520,00:01:30.960,2239,2275
34,00:01:31.000,00:01:32.360,2276,2310
35,00:01:32.400,00:01:35.960,2311,2400
36,00:01:36.000,00:01:38.440,2401,2462
37,00:01:38.480,00:01:39.560,2463,2490
38,00:01:39.600,00:01:41.960,2491,2550
39,00:01:42.000,00:01:45.080,2551,2628
40,00:01:45.120,00:01:48.160,2629,2705
41,00:01:48.200,00:01:50.640,2706,2767
42,00:01:50.680,00:01:52.560,2768,2815
43,00:01:52.600,00:01:54.400,2816,2861
44,00:01:54.440,00:01:55.640,2862,2892
45,00:01:55.680,00:01:58.720,2893,2969
46,00:01:58.760,00:02:00.720,2970,3019
47,00:02:00.760,00:02:02.480,3020,3063
48,00:02:02.520,00:02:05.440,3064,3137
49,00:02:05.480,00:02:10.000,3138,3251
50,00:02:10.040,00:02:12.360,3252,3310
51,00:02:12.400,00:02:13.760,3311,3345
52,00:02:13.800,00:02:17.080,3346,3428
53,00:02:17.120,00:02:19.040,3429,3477
54,00:02:19.080,00:02:20.960,3478,3525
55,00:02:21.000,00:02:23.240,3526,3582
56,00:02:23.280,00:02:25.880,3583,3648
57,00:02:25.920,00:02:27.400,3649,3686
58,00:02:27.440,00:02:30.800,3687,3771
59,00:02:30.840,00:02:33.120,3772,3829
60,00:02:33.160,00:02:34.480,3830,3863
61,00:02:34.520,00:02:36.400,3864,3911
62,00:02:36.440,00:02:37.920,3912,3949
63,00:02:37.960,00:02:39.480,3950,3988
64,00:02:39.520,00:02:41.240,3989,4032
