No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.800,1,71
2,00:00:02.840,00:00:04.520,72,114
3,00:00:04.560,00:00:07.880,115,198
4,00:00:07.920,00:00:10.320,199,259
5,00:00:10.360,00:00:13.160,260,330
6,00:00:13.200,00:00:17.520,331,439
7,00:00:17.560,00:00:18.840,440,472
8,00:00:18.880,00:00:20.000,473,501
9,00:00:20.040,00:00:21.880,502,548
10,00:00:21.920,00:00:23.720,549,594
11,00:00:23.760,00:00:24.760,595,620
12,00:00:24.800,00:00:26.040,621,652
13,00:00:26.080,00:00:28.080,653,703
14,00:00:28.120,00:00:30.400,704,761
15,00:00:30.440,00:00:35.560,762,890
16,00:00:35.600,00:00:38.760,891,970
17,00:00:38.800,00:00:40.240,971,1007
18,00:00:40.280,00:00:41.920,1008,1049
19,00:00:41.960,00:00:43.720,1050,1094
20,00:00:43.760,00:00:46.520,1095,1164
21,00:00:46.560,00:00:49.440,1165,1237
22,00:00:49.480,00:00:50.840,1238,1272
23,00:00:50.880,00:00:53.960,1273,1350
24,00:00:54.000,00:00:58.800,1351,1471
25,00:00:58.840,00:01:00.880,1472,1523
26,00:01:00.920,00:01:02.480,1524,1563
27,00:01:02.520,00:01:05.160,1564,1630
28,00:01:05.200,00:01:09.240,1631,1732
29,00:01:09.280,00:01:14.000,1733,1851
30,00:01:14.040,00:01:17.040,1852,1927
31,00:01:17.080,00:01:21.760,1928,2045
32,00:01:21.800,00:01:25.760,2046,2145
33,00:01:25.800,00:01:29.680,2146,2243
34,00:01:29.720,00:01:31.280,2244,2283
35,00:01:31.320,00:01:33.120,2284,2329
36,00:01:33.160,00:01:34.960,2330,2375
37,00:01:35.000,00:01:36.640,2376,2417
38,00:01:36.680,00:01:37.520,2418,2439
39,00:01:37.560,00:01:39.560,2440,2490
40,00:01:39.600,00:01:40.760,2491,2520
