No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.600,1,41
2,00:00:01.640,00:00:04.360,42,110
3,00:00:04.400,00:00:05.600,111,141
4,00:00:05.640,00:00:06.880,142,173
5,00:00:06.920,00:00:09.040,174,227
6,00:00:09.080,00:00:11.040,228,277
7,00:00:11.080,00:00:12.560,278,315
8,00:00:12.600,00:00:13.880,316,348
9,00:00:13.920,00:00:15.600,349,391
10,00:00:15.640,00:00:17.360,392,435
11,00:00:17.400,00:00:20.640,436,517
12,00:00:20.680,00:00:23.680,518,593
13,00:00:23.720,00:00:27.360,594,685
14,00:00:27.400,00:00:28.480,686,713
15,00:00:28.520,00:00:29.680,714,743
16,00:00:29.720,00:00:31.280,744,783
17,00:00:31.320,00:00:33.040,784,827
18,00:00:33.080,00:00:34.000,828,851
19,00:00:34.040,00:00:35.280,852,883
20,00:00:35.320,00:00:36.840,884,922
21,00:00:36.880,00:00:38.720,923,969
22,00:00:38.760,00:00:40.400,970,1011
23,00:00:40.440,00:00:41.800,1012,1046
24,00:00:41.840,00:00:43.640,1047,1092
25,00:00:43.680,00:00:46.200,1093,1156
26,00:00:46.240,00:00:47.680,1157,1193
27,00:00:47.720,00:00:49.400,1194,1236
28,00:00:49.440,00:00:50.720,1237,1269
29,00:00:50.760,00:00:52.400,1270,1311
