No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.320,1,59
2,00:00:02.360,00:00:03.160,60,80
3,00:00:03.200,00:00:04.360,81,110
4,00:00:04.400,00:00:06.920,111,174
5,00:00:06.960,00:00:08.280,175,208
6,00:00:08.320,00:00:09.600,209,241
7,00:00:09.640,00:00:10.720,242,269
8,00:00:10.760,00:00:13.400,270,336
9,00:00:13.440,00:00:15.960,337,400
10,00:00:16.000,00:00:18.520,401,464
11,00:00:18.560,00:00:20.200,465,506
12,00:00:20.240,00:00:21.720,507,544
13,00:00:21.760,00:00:28.640,545,717
14,00:00:28.680,00:00:30.000,718,751
15,00:00:30.040,00:00:31.600,752,791
16,00:00:31.640,00:00:33.480,792,838
17,00:00:33.520,00:00:37.080,839,928
18,00:00:37.120,00:00:38.800,929,971
19,00:00:38.840,00:00:40.000,972,1001
20,00:00:40.040,00:00:41.480,1002,1038
21,00:00:41.520,00:00:44.920,1039,1124
22,00:00:44.960,00:00:49.520,1125,1239
23,00:00:49.560,00:00:51.760,1240,1295
24,00:00:51.800,00:00:53.400,1296,1336
25,00:00:53.440,00:00:55.280,1337,1383
26,00:00:55.320,00:00:56.840,1384,1422
27,00:00:56.880,00:00:58.560,1423,1465
28,00:00:58.600,00:00:59.800,1466,1496
29,00:00:59.840,00:01:01.160,1497,1530
30,00:01:01.200,00:01:02.640,1531,1567
31,00:01:02.680,00:01:04.200,1568,1606
32,00:01:04.240,00:01:06.320,1607,1659
33,00:01:06.360,00:01:10.080,1660,1753
34,00:01:10.120,00:01:12.280,1754,1808
35,00:01:12.320,00:01:13.520,1809,1839
36,00:01:13.560,00:01:15.440,1840,1887
37,00:01:15.480,00:01:17.000,1888,1926
38,00:01:17.040,00:01:18.320,1927,1959
39,00:01:18.360,00:01:19.640,1960,1992
40,00:01:19.680,00:01:20.960,1993,2025
41,00:01:21.000,00:01:24.400,2026,2111
42,00:01:24.440,00:01:27.480,2112,2188
43,00:01:27.520,00:01:33.000,2189,2326
44,00:01:33.040,00:01:34.440,2327,2362
45,00:01:34.480,00:01:35.960,2363,2400
46,00:01:36.000,00:01:37.280,2401,2433
47,00:01:37.320,00:01:38.040,2434,2452
48,00:01:38.080,00:01:41.000,2453,2526
49,00:01:41.040,00:01:42.880,2527,2573
50,00:01:42.920,00:01:43.160,2574,2580
