No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.640,1,42
2,00:00:01.680,00:00:06.480,43,163
3,00:00:06.520,00:00:09.120,164,229
4,00:00:09.160,00:00:11.040,230,277
5,00:00:11.080,00:00:11.960,278,300
6,00:00:12.000,00:00:17.360,301,435
7,00:00:17.400,00:00:22.080,436,553
8,00:00:22.120,00:00:23.720,554,594
9,00:00:23.760,00:00:25.680,595,643
10,00:00:25.720,00:00:27.080,644,678
11,00:00:27.120,00:00:32.080,679,803
12,00:00:32.120,00:00:33.160,804,830
13,00:00:33.200,00:00:37.000,831,926
14,00:00:37.040,00:00:38.800,927,971
15,00:00:38.840,00:00:40.640,972,1017
16,00:00:40.680,00:00:42.360,1018,1060
17,00:00:42.400,00:00:44.280,1061,1108
18,00:00:44.320,00:00:45.440,1109,1137
19,00:00:45.480,00:00:47.240,1138,1182
20,00:00:47.280,00:00:49.440,1183,1237
21,00:00:49.480,00:00:51.040,1238,1277
22,00:00:51.080,00:00:57.200,1278,1431
23,00:00:57.240,00:00:59.960,1432,1500
24,00:01:00.000,00:01:01.680,1501,1543
25,00:01:01.720,00:01:05.080,1544,1628
26,00:01:05.120,00:01:07.240,1629,1682
27,00:01:07.280,00:01:08.800,1683,1721
28,00:01:08.840,00:01:12.240,1722,1807
29,00:01:12.280,00:01:15.240,1808,1882
30,00:01:15.280,00:01:19.200,1883,1981
31,00:01:19.240,00:01:22.320,1982,2059
32,00:01:22.360,00:01:26.040,2060,2152
33,00:01:26.080,00:01:30.280,2153,2258
34,00:01:30.320,00:01:32.840,2259,2322
35,00:01:32.880,00:01:37.280,2323,2433
36,00:01:37.320,00:01:41.280,2434,2533
37,00:01:41.320,00:01:44.800,2534,2621
38,00:01:44.840,00:01:46.080,2622,2653
39,00:01:46.120,00:01:47.640,2654,2692
40,00:01:47.680,00:01:50.360,2693,2760
41,00:01:50.400,00:01:51.520,2761,2789
42,00:01:51.560,00:01:53.280,2790,2833
43,00:01:53.320,00:01:55.440,2834,2887
44,00:01:55.480,00:01:55.600,2888,2891
45,00:01:55.640,00:01:57.760,2892,2945
46,00:01:57.800,00:01:59.560,2946,2990
47,00:01:59.600,00:02:02.120,2991,3054
48,00:02:02.160,00:02:03.960,3055,3100
49,00:02:04.000,00:02:05.080,3101,3128
50,00:02:05.120,00:02:06.880,3129,3173
51,00:02:06.920,00:02:09.960,3174,3250
52,00:02:10.000,00:02:12.360,3251,3310
53,00:02:12.400,00:02:13.440,3311,3337
54,00:02:13.480,00:02:14.520,3338,3364
55,00:02:14.560,00:02:16.880,3365,3423
56,00:02:16.920,00:02:19.920,3424,3499
57,00:02:19.960,00:02:21.240,3500,3532
58,00:02:21.280,00:02:23.000,3533,3576
59,00:02:23.040,00:02:26.920,3577,3674
60,00:02:26.960,00:02:31.320,3675,3784
61,00:02:31.360,00:02:33.280,3785,3833
62,00:02:33.320,00:02:34.360,3834,3860
63,00:02:34.400,00:02:36.400,3861,3911
64,00:02:36.440,00:02:38.120,3912,3954
65,00:02:38.160,00:02:39.040,3955,3977
