No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.520,1,64
2,00:00:02.560,00:00:04.080,65,103
3,00:00:04.120,00:00:04.960,104,125
4,00:00:05.000,00:00:06.320,126,159
5,00:00:06.360,00:00:07.640,160,192
6,00:00:07.680,00:00:10.000,193,251
7,00:00:10.040,00:00:13.360,252,335
8,00:00:13.400,00:00:15.160,336,380
9,00:00:15.200,00:00:16.240,381,407
10,00:00:16.280,00:00:18.000,408,451
11,00:00:18.040,00:00:19.440,452,487
12,00:00:19.480,00:00:21.720,488,544
13,00:00:21.760,00:00:22.960,545,575
14,00:00:23.000,00:00:26.080,576,653
15,00:00:26.120,00:00:27.320,654,684
16,00:00:27.360,00:00:29.720,685,744
17,00:00:29.760,00:00:31.600,745,791
18,00:00:31.640,00:00:32.840,792,822
19,00:00:32.880,00:00:35.440,823,887
20,00:00:35.480,00:00:36.840,888,922
21,00:00:36.880,00:00:39.320,923,984
22,00:00:39.360,00:00:41.080,985,1028
23,00:00:41.120,00:00:42.600,1029,1066
24,00:00:42.640,00:00:43.880,1067,1098
25,00:00:43.920,00:00:45.600,1099,1141
26,00:00:45.640,00:00:49.200,1142,1231
27,00:00:49.240,00:00:50.880,1232,1273
28,00:00:50.920,00:00:52.360,1274,1310
29,00:00:52.400,00:00:54.200,1311,1356
30,00:00:54.240,00:00:57.840,1357,1447
31,00:00:57.880,00:01:00.440,1448,1512
32,00:01:00.480,00:01:01.600,1513,1541
33,00:01:01.640,00:01:03.200,1542,1581
34,00:01:03.240,00:01:04.760,1582,1620
35,00:01:04.800,00:01:07.040,1621,1677
36,00:01:07.080,00:01:10.520,1678,1764
37,00:01:10.560,00:01:13.520,1765,1839
38,00:01:13.560,00:01:16.520,1840,1914
39,00:01:16.560,00:01:18.720,1915,1969
40,00:01:18.760,00:01:20.000,1970,2001
41,00:01:20.040,00:01:22.600,2002,2066
42,00:01:22.640,00:01:25.160,2067,2130
43,00:01:25.200,00:01:27.520,2131,2189
44,00:01:27.560,00:01:29.480,2190,2238
45,00:01:29.520,00:01:30.760,2239,2270
46,00:01:30.800,00:01:32.040,2271,2302
47,00:01:32.080,00:01:33.120,2303,2329
48,00:01:33.160,00:01:34.560,2330,2365
49,00:01:34.600,00:01:36.680,2366,2418
50,00:01:36.720,00:01:38.440,2419,2462
51,00:01:38.480,00:01:40.360,2463,2510
52,00:01:40.400,00:01:41.760,2511,2545
53,00:01:41.800,00:01:44.080,2546,2603
54,00:01:44.120,00:01:46.080,2604,2653
55,00:01:46.120,00:01:47.520,2654,2689
56,00:01:47.560,00:01:49.320,2690,2734
57,00:01:49.360,00:01:51.320,2735,2784
58,00:01:51.360,00:01:52.920,2785,2824
59,00:01:52.960,00:01:54.680,2825,2868
60,00:01:54.720,00:01:55.600,2869,2891
61,00:01:55.640,00:01:57.560,2892,2940
62,00:01:57.600,00:01:59.200,2941,2981
63,00:01:59.240,00:02:02.600,2982,3066
64,00:02:02.640,00:02:04.280,3067,3108
65,00:02:04.320,00:02:07.320,3109,3184
66,00:02:07.360,00:02:08.600,3185,3216
67,00:02:08.640,00:02:12.480,3217,3313
68,00:02:12.520,00:02:14.160,3314,3355
69,00:02:14.200,00:02:15.880,3356,3398
70,00:02:15.920,00:02:17.960,3399,3450
71,00:02:18.000,00:02:20.920,3451,3524
72,00:02:20.960,00:02:22.000,3525,3551
73,00:02:22.040,00:02:23.520,3552,3589
74,00:02:23.560,00:02:25.040,3590,3627
75,00:02:25.080,00:02:27.160,3628,3680
76,00:02:27.200,00:02:29.440,3681,3737
77,00:02:29.480,00:02:33.280,3738,3833
78,00:02:33.320,00:02:36.440,3834,3912
79,00:02:36.480,00:02:39.360,3913,3985
80,00:02:39.400,00:02:41.320,3986,4034
81,00:02:41.360,00:02:43.720,4035,4094
82,00:02:43.760,00:02:46.640,4095,4167
83,00:02:46.680,00:02:48.600,4168,4216
84,00:02:48.640,00:02:51.360,4217,4285
85,00:02:51.400,00:02:53.800,4286,4346
86,00:02:53.840,00:02:55.880,4347,4398
87,00:02:55.920,00:02:56.920,4399,4424
