No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.080,1,28
2,00:00:01.120,00:00:02.720,29,69
3,00:00:02.760,00:00:07.200,70,181
4,00:00:07.240,00:00:08.960,182,225
5,00:00:09.000,00:00:10.280,226,258
6,00:00:10.320,00:00:17.760,259,445
7,00:00:17.800,00:00:23.040,446,577
8,00:00:23.080,00:00:35.120,578,879
9,00:00:35.160,00:00:36.840,880,922
10,00:00:36.880,00:00:39.800,923,996
11,00:00:39.840,00:00:41.880,997,1048
12,00:00:41.920,00:00:48.200,1049,1206
13,00:00:48.240,00:00:52.360,1207,1310
14,00:00:52.400,00:00:54.120,1311,1354
15,00:00:54.160,00:01:03.720,1355,1594
16,00:01:03.760,00:01:09.400,1595,1736
17,00:01:09.440,00:01:16.440,1737,1912
