No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.400,1,61
2,00:00:02.440,00:00:05.080,62,128
3,00:00:05.120,00:00:06.480,129,163
4,00:00:06.520,00:00:08.680,164,218
5,00:00:08.720,00:00:11.040,219,277
6,00:00:11.080,00:00:12.320,278,309
7,00:00:12.360,00:00:17.920,310,449
8,00:00:17.960,00:00:18.880,450,473
9,00:00:18.920,00:00:24.200,474,606
10,00:00:24.240,00:00:29.000,607,726
11,00:00:29.040,00:00:32.880,727,823
12,00:00:32.920,00:00:35.200,824,881
13,00:00:35.240,00:00:37.320,882,934
14,00:00:37.360,00:00:42.240,935,1057
15,00:00:42.280,00:00:43.440,1058,1087
16,00:00:43.480,00:00:46.920,1088,1174
17,00:00:46.960,00:00:48.600,1175,1216
18,00:00:48.640,00:00:54.000,1217,1351
19,00:00:54.040,00:00:58.440,1352,1462
20,00:00:58.480,00:01:03.920,1463,1599
21,00:01:03.960,00:01:03.960,1600,1600
22,00:01:04.000,00:01:06.120,1601,1654
23,00:01:06.160,00:01:07.680,1655,1693
24,00:01:07.720,00:01:09.200,1694,1731
25,00:01:09.240,00:01:11.240,1732,1782
26,00:01:11.280,00:01:13.720,1783,1844
27,00:01:13.760,00:01:15.680,1845,1893
28,00:01:15.720,00:01:18.480,1894,1963
29,00:01:18.520,00:01:20.880,1964,2023
30,00:01:20.920,00:01:22.840,2024,2072
31,00:01:22.880,00:01:24.480,2073,2113
32,00:01:24.520,00:01:29.360,2114,2235
33,00:01:29.400,00:01:29.520,2236,2239
