No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:12.720,1,319
2,00:00:12.760,00:00:33.080,320,828
3,00:00:33.120,00:00:35.440,829,887
4,00:00:35.480,00:00:42.400,888,1061
5,00:00:42.440,00:00:45.600,1062,1141
6,00:00:45.640,00:00:53.040,1142,1327
7,00:00:53.080,00:01:09.560,1328,1740
8,00:01:09.600,00:01:11.360,1741,1785
9,00:01:11.400,00:01:21.000,1786,2026
10,00:01:21.040,00:01:23.600,2027,2091
11,00:01:23.640,00:01:30.120,2092,2254
12,00:01:30.160,00:01:31.920,2255,2299
13,00:01:31.960,00:01:37.720,2300,2444
14,00:01:37.760,00:01:39.720,2445,2494
15,00:01:39.760,00:01:46.960,2495,2675
16,00:01:47.000,00:01:47.960,2676,2700
17,00:01:48.000,00:01:49.680,2701,2743
