No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.280,1,8
2,00:00:00.320,00:00:02.760,9,70
3,00:00:02.800,00:00:04.000,71,101
4,00:00:04.040,00:00:08.920,102,224
5,00:00:08.960,00:00:14.320,225,359
6,00:00:14.360,00:00:18.880,360,473
7,00:00:18.920,00:00:26.520,474,664
8,00:00:26.560,00:00:29.120,665,729
9,00:00:29.160,00:00:35.280,730,883
10,00:00:35.320,00:00:39.840,884,997
11,00:00:39.880,00:00:42.360,998,1060
12,00:00:42.400,00:00:45.280,1061,1133
13,00:00:45.320,00:00:45.840,1134,1147
14,00:00:45.880,00:01:00.120,1148,1504
15,00:01:00.160,00:01:03.400,1505,1586
16,00:01:03.440,00:01:06.320,1587,1659
17,00:01:06.360,00:01:12.040,1660,1802
18,00:01:12.080,00:01:14.240,1803,1857
19,00:01:14.280,00:01:30.840,1858,2272
20,00:01:30.880,00:01:34.960,2273,2375
21,00:01:35.000,00:01:40.520,2376,2514
22,00:01:40.560,00:01:51.920,2515,2799
23,00:01:51.960,00:01:57.280,2800,2933
24,00:01:57.320,00:02:00.720,2934,3019
25,00:02:00.760,00:02:17.520,3020,3439
26,00:02:17.560,00:02:21.000,3440,3526
27,00:02:21.040,00:02:25.480,3527,3638
28,00:02:25.520,00:02:39.320,3639,3984
29,00:02:39.360,00:02:43.240,3985,4082
30,00:02:43.280,00:02:54.680,4083,4368
31,00:02:54.720,00:02:58.640,4369,4467
32,00:02:58.680,00:03:07.880,4468,4698
33,00:03:07.920,00:03:09.720,4699,4744
