No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.880,1,123
2,00:00:04.920,00:00:06.280,124,158
3,00:00:06.320,00:00:06.480,159,163
4,00:00:06.520,00:00:07.600,164,191
5,00:00:07.640,00:00:09.960,192,250
6,00:00:10.000,00:00:18.560,251,465
7,00:00:18.600,00:00:19.840,466,497
8,00:00:19.880,00:00:21.400,498,536
9,00:00:21.440,00:00:22.320,537,559
10,00:00:22.360,00:00:24.120,560,604
11,00:00:24.160,00:00:29.840,605,747
12,00:00:29.880,00:00:35.000,748,876
13,00:00:35.040,00:00:35.120,877,879
14,00:00:35.160,00:00:43.400,880,1086
15,00:00:43.440,00:00:47.400,1087,1186
16,00:00:47.440,00:00:50.840,1187,1272
17,00:00:50.880,00:00:53.160,1273,1330
18,00:00:53.200,00:00:54.960,1331,1375
19,00:00:55.000,00:00:56.720,1376,1419
20,00:00:56.760,00:01:04.960,1420,1625
21,00:01:05.000,00:01:07.560,1626,1690
22,00:01:07.600,00:01:10.160,1691,1755
