No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.760,1,170
2,00:00:06.800,00:00:14.640,171,367
3,00:00:14.680,00:00:19.760,368,495
4,00:00:19.800,00:00:23.800,496,596
5,00:00:23.840,00:00:26.880,597,673
6,00:00:26.920,00:00:29.320,674,734
7,00:00:29.360,00:00:34.680,735,868
8,00:00:34.720,00:00:38.600,869,966
9,00:00:38.640,00:00:41.560,967,1040
10,00:00:41.600,00:00:56.560,1041,1415
11,00:00:56.600,00:01:00.560,1416,1515
12,00:01:00.600,00:01:09.000,1516,1726
13,00:01:09.040,00:01:14.560,1727,1865
14,00:01:14.600,00:01:27.000,1866,2176
15,00:01:27.040,00:01:29.960,2177,2250
16,00:01:30.000,00:01:31.880,2251,2298
17,00:01:31.920,00:01:33.480,2299,2338
18,00:01:33.520,00:01:41.160,2339,2530
19,00:01:41.200,00:01:46.240,2531,2657
20,00:01:46.280,00:01:51.200,2658,2781
21,00:01:51.240,00:01:57.000,2782,2926
22,00:01:57.040,00:02:02.200,2927,3056
23,00:02:02.240,00:02:10.880,3057,3273
24,00:02:10.920,00:02:20.480,3274,3513
