No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:09.840,1,247
2,00:00:09.880,00:00:14.760,248,370
3,00:00:14.800,00:00:20.000,371,501
4,00:00:20.040,00:00:22.960,502,575
5,00:00:23.000,00:00:28.760,576,720
6,00:00:28.800,00:00:30.520,721,764
7,00:00:30.560,00:00:32.600,765,816
8,00:00:32.640,00:00:37.080,817,928
9,00:00:37.120,00:00:38.720,929,969
10,00:00:38.760,00:00:53.680,970,1343
11,00:00:53.720,00:00:54.560,1344,1365
12,00:00:54.600,00:00:59.520,1366,1489
13,00:00:59.560,00:01:00.680,1490,1518
14,00:01:00.720,00:01:02.440,1519,1562
15,00:01:02.480,00:01:03.360,1563,1585
16,00:01:03.400,00:01:04.600,1586,1616
17,00:01:04.640,00:01:08.760,1617,1720
18,00:01:08.800,00:01:09.600,1721,1741
19,00:01:09.640,00:01:10.680,1742,1768
20,00:01:10.720,00:01:11.520,1769,1789
21,00:01:11.560,00:01:12.120,1790,1804
22,00:01:12.160,00:01:14.880,1805,1873
23,00:01:14.920,00:01:16.000,1874,1901
24,00:01:16.040,00:01:16.840,1902,1922
25,00:01:16.880,00:01:18.240,1923,1957
26,00:01:18.280,00:01:20.000,1958,2001
27,00:01:20.040,00:01:21.480,2002,2038
28,00:01:21.520,00:01:23.080,2039,2078
29,00:01:23.120,00:01:23.840,2079,2097
30,00:01:23.880,00:01:27.160,2098,2180
31,00:01:27.200,00:01:29.400,2181,2236
32,00:01:29.440,00:01:30.880,2237,2273
33,00:01:30.920,00:01:33.040,2274,2327
34,00:01:33.080,00:01:35.160,2328,2380
35,00:01:35.200,00:01:36.760,2381,2420
36,00:01:36.800,00:01:40.920,2421,2524
37,00:01:40.960,00:01:42.160,2525,2555
38,00:01:42.200,00:01:43.600,2556,2591
39,00:01:43.640,00:01:46.400,2592,2661
40,00:01:46.440,00:01:51.520,2662,2789
41,00:01:51.560,00:01:52.920,2790,2824
42,00:01:52.960,00:01:54.600,2825,2866
43,00:01:54.640,00:01:59.600,2867,2991
