No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.960,1,75
2,00:00:03.000,00:00:09.960,76,250
3,00:00:10.000,00:00:16.320,251,409
4,00:00:16.360,00:00:20.640,410,517
5,00:00:20.680,00:00:29.520,518,739
6,00:00:29.560,00:00:32.200,740,806
7,00:00:32.240,00:00:36.840,807,922
8,00:00:36.880,00:00:40.800,923,1021
9,00:00:40.840,00:00:48.720,1022,1219
10,00:00:48.760,00:00:52.680,1220,1318
11,00:00:52.720,00:01:01.120,1319,1529
12,00:01:01.160,00:01:07.560,1530,1690
13,00:01:07.600,00:01:09.320,1691,1734
14,00:01:09.360,00:01:11.600,1735,1791
15,00:01:11.640,00:01:19.840,1792,1997
16,00:01:19.880,00:01:20.000,1998,2001
