No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.680,1,43
2,00:00:01.720,00:00:02.560,44,65
3,00:00:02.600,00:00:05.080,66,128
4,00:00:05.120,00:00:11.360,129,285
5,00:00:11.400,00:00:12.920,286,324
6,00:00:12.960,00:00:14.160,325,355
7,00:00:14.200,00:00:15.800,356,396
8,00:00:15.840,00:00:16.840,397,422
9,00:00:16.880,00:00:20.080,423,503
10,00:00:20.120,00:00:21.600,504,541
11,00:00:21.640,00:00:30.000,542,751
12,00:00:30.040,00:00:31.600,752,791
13,00:00:31.640,00:00:33.360,792,835
14,00:00:33.400,00:00:34.920,836,874
15,00:00:34.960,00:00:36.920,875,924
16,00:00:36.960,00:00:37.720,925,944
17,00:00:37.760,00:00:38.520,945,964
18,00:00:38.560,00:00:39.560,965,990
19,00:00:39.600,00:00:40.920,991,1024
20,00:00:40.960,00:00:42.720,1025,1069
21,00:00:42.760,00:00:46.320,1070,1159
22,00:00:46.360,00:00:49.920,1160,1249
23,00:00:49.960,00:00:52.120,1250,1304
24,00:00:52.160,00:00:56.120,1305,1404
25,00:00:56.160,00:00:58.800,1405,1471
26,00:00:58.840,00:01:01.640,1472,1542
27,00:01:01.680,00:01:03.400,1543,1586
28,00:01:03.440,00:01:04.360,1587,1610
29,00:01:04.400,00:01:11.240,1611,1782
30,00:01:11.280,00:01:18.640,1783,1967
31,00:01:18.680,00:01:20.520,1968,2014
