No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.640,1,17
2,00:00:00.680,00:00:04.680,18,118
3,00:00:04.720,00:00:09.800,119,246
4,00:00:09.840,00:00:14.720,247,369
5,00:00:14.760,00:00:17.480,370,438
6,00:00:17.520,00:00:24.680,439,618
7,00:00:24.720,00:00:27.040,619,677
8,00:00:27.080,00:00:32.200,678,806
9,00:00:32.240,00:00:37.160,807,930
10,00:00:37.200,00:00:44.600,931,1116
11,00:00:44.640,00:00:47.480,1117,1188
12,00:00:47.520,00:00:50.600,1189,1266
13,00:00:50.640,00:00:52.760,1267,1320
14,00:00:52.800,00:00:55.920,1321,1399
15,00:00:55.960,00:00:58.200,1400,1456
16,00:00:58.240,00:01:03.160,1457,1580
17,00:01:03.200,00:01:05.520,1581,1639
18,00:01:05.560,00:01:07.400,1640,1686
19,00:01:07.440,00:01:13.720,1687,1844
20,00:01:13.760,00:01:16.800,1845,1921
21,00:01:16.840,00:01:22.040,1922,2052
22,00:01:22.080,00:01:24.960,2053,2125
23,00:01:25.000,00:01:29.680,2126,2243
24,00:01:29.720,00:01:32.680,2244,2318
25,00:01:32.720,00:01:35.400,2319,2386
26,00:01:35.440,00:01:38.720,2387,2469
27,00:01:38.760,00:01:40.680,2470,2518
28,00:01:40.720,00:01:43.560,2519,2590
29,00:01:43.600,00:01:48.200,2591,2706
30,00:01:48.240,00:01:52.560,2707,2815
31,00:01:52.600,00:01:54.960,2816,2875
32,00:01:55.000,00:01:58.080,2876,2953
33,00:01:58.120,00:02:00.040,2954,3002
