No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.920,1,99
2,00:00:03.960,00:00:05.520,100,139
3,00:00:05.560,00:00:07.760,140,195
4,00:00:07.800,00:00:11.040,196,277
5,00:00:11.080,00:00:13.440,278,337
6,00:00:13.480,00:00:18.600,338,466
7,00:00:18.640,00:00:20.320,467,509
8,00:00:20.360,00:00:23.040,510,577
9,00:00:23.080,00:00:25.080,578,628
10,00:00:25.120,00:00:30.440,629,762
11,00:00:30.480,00:00:32.400,763,811
12,00:00:32.440,00:00:39.200,812,981
13,00:00:39.240,00:00:41.240,982,1032
14,00:00:41.280,00:00:44.720,1033,1119
15,00:00:44.760,00:00:47.560,1120,1190
16,00:00:47.600,00:00:49.560,1191,1240
17,00:00:49.600,00:00:51.680,1241,1293
18,00:00:51.720,00:00:57.080,1294,1428
19,00:00:57.120,00:00:59.480,1429,1488
20,00:00:59.520,00:01:01.800,1489,1546
21,00:01:01.840,00:01:03.360,1547,1585
22,00:01:03.400,00:01:08.040,1586,1702
23,00:01:08.080,00:01:11.240,1703,1782
24,00:01:11.280,00:01:14.800,1783,1871
25,00:01:14.840,00:01:18.200,1872,1956
26,00:01:18.240,00:01:20.400,1957,2011
27,00:01:20.440,00:01:23.200,2012,2081
28,00:01:23.240,00:01:25.160,2082,2130
29,00:01:25.200,00:01:28.920,2131,2224
30,00:01:28.960,00:01:30.680,2225,2268
31,00:01:30.720,00:01:34.800,2269,2371
32,00:01:34.840,00:01:38.080,2372,2453
33,00:01:38.120,00:01:44.200,2454,2606
34,00:01:44.240,00:01:46.960,2607,2675
35,00:01:47.000,00:01:49.480,2676,2738
36,00:01:49.520,00:01:51.080,2739,2778
37,00:01:51.120,00:01:52.280,2779,2808
38,00:01:52.320,00:01:56.200,2809,2906
39,00:01:56.240,00:01:59.960,2907,3000
40,00:02:00.000,00:02:02.240,3001,3057
41,00:02:02.280,00:02:04.640,3058,3117
42,00:02:04.680,00:02:07.720,3118,3194
43,00:02:07.760,00:02:10.720,3195,3269
44,00:02:10.760,00:02:15.640,3270,3392
45,00:02:15.680,00:02:17.720,3393,3444
46,00:02:17.760,00:02:20.520,3445,3514
47,00:02:20.560,00:02:22.440,3515,3562
48,00:02:22.480,00:02:24.160,3563,3605
49,00:02:24.200,00:02:26.880,3606,3673
50,00:02:26.920,00:02:32.080,3674,3803
51,00:02:32.120,00:02:40.440,3804,4012
52,00:02:40.480,00:02:42.080,4013,4053
53,00:02:42.120,00:02:46.680,4054,4168
54,00:02:46.720,00:02:50.440,4169,4262
55,00:02:50.480,00:02:53.440,4263,4337
56,00:02:53.480,00:02:55.560,4338,4390
57,00:02:55.600,00:02:57.600,4391,4441
58,00:02:57.640,00:02:59.800,4442,4496
59,00:02:59.840,00:03:03.440,4497,4587
