No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.680,1,93
2,00:00:03.720,00:00:06.120,94,154
3,00:00:06.160,00:00:10.640,155,267
4,00:00:10.680,00:00:15.840,268,397
5,00:00:15.880,00:00:22.440,398,562
6,00:00:22.480,00:00:24.720,563,619
7,00:00:24.760,00:00:29.080,620,728
8,00:00:29.120,00:00:30.960,729,775
9,00:00:31.000,00:00:34.640,776,867
10,00:00:34.680,00:00:36.280,868,908
11,00:00:36.320,00:00:45.200,909,1131
12,00:00:45.240,00:00:46.880,1132,1173
13,00:00:46.920,00:00:48.480,1174,1213
14,00:00:48.520,00:00:50.360,1214,1260
15,00:00:50.400,00:01:06.560,1261,1665
16,00:01:06.600,00:01:12.040,1666,1802
17,00:01:12.080,00:01:20.080,1803,2003
