No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.440,1,12
2,00:00:00.480,00:00:06.440,13,162
3,00:00:06.480,00:00:14.440,163,362
4,00:00:14.480,00:00:17.000,363,426
5,00:00:17.040,00:00:26.800,427,671
6,00:00:26.840,00:00:29.200,672,731
7,00:00:29.240,00:00:32.520,732,814
8,00:00:32.560,00:00:35.080,815,878
9,00:00:35.120,00:00:38.600,879,966
10,00:00:38.640,00:00:41.160,967,1030
11,00:00:41.200,00:00:44.960,1031,1125
12,00:00:45.000,00:00:49.560,1126,1240
13,00:00:49.600,00:00:52.280,1241,1308
14,00:00:52.320,00:00:55.800,1309,1396
15,00:00:55.840,00:01:00.800,1397,1521
16,00:01:00.840,00:01:06.240,1522,1657
17,00:01:06.280,00:01:10.600,1658,1766
