No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.560,1,40
2,00:00:01.600,00:00:01.760,41,45
3,00:00:01.800,00:00:02.720,46,69
4,00:00:02.760,00:00:03.560,70,90
5,00:00:03.600,00:00:04.680,91,118
6,00:00:04.720,00:00:05.960,119,150
7,00:00:06.000,00:00:06.920,151,174
8,00:00:06.960,00:00:07.600,175,191
9,00:00:07.640,00:00:08.280,192,208
10,00:00:08.320,00:00:08.960,209,225
11,00:00:09.000,00:00:09.920,226,249
12,00:00:09.960,00:00:11.320,250,284
13,00:00:11.360,00:00:12.240,285,307
14,00:00:12.280,00:00:13.040,308,327
15,00:00:13.080,00:00:13.960,328,350
16,00:00:14.000,00:00:14.800,351,371
17,00:00:14.840,00:00:15.440,372,387
18,00:00:15.480,00:00:16.080,388,403
19,00:00:16.120,00:00:17.040,404,427
20,00:00:17.080,00:00:17.800,428,446
21,00:00:17.840,00:00:20.760,447,520
22,00:00:20.800,00:00:22.760,521,570
23,00:00:22.800,00:00:25.760,571,645
