No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.280,1,8
2,00:00:00.320,00:00:16.480,9,413
3,00:00:16.520,00:00:19.560,414,490
4,00:00:19.600,00:00:21.720,491,544
5,00:00:21.760,00:00:24.480,545,613
6,00:00:24.520,00:00:28.680,614,718
7,00:00:28.720,00:00:38.040,719,952
8,00:00:38.080,00:00:41.760,953,1045
9,00:00:41.800,00:00:54.240,1046,1357
10,00:00:54.280,00:01:01.120,1358,1529
11,00:01:01.160,00:01:11.080,1530,1778
12,00:01:11.120,00:01:15.760,1779,1895
13,00:01:15.800,00:01:19.200,1896,1981
14,00:01:19.240,00:01:29.400,1982,2236
15,00:01:29.440,00:01:33.520,2237,2339
16,00:01:33.560,00:01:38.400,2340,2461
17,00:01:38.440,00:01:49.480,2462,2738
18,00:01:49.520,00:01:54.160,2739,2855
19,00:01:54.200,00:01:57.360,2856,2935
20,00:01:57.400,00:01:58.840,2936,2972
