No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:06.720,1,169
2,00:00:06.760,00:00:10.600,170,266
3,00:00:10.640,00:00:13.160,267,330
4,00:00:13.200,00:00:17.000,331,426
5,00:00:17.040,00:00:24.520,427,614
6,00:00:24.560,00:00:27.360,615,685
7,00:00:27.400,00:00:30.520,686,764
8,00:00:30.560,00:00:33.720,765,844
9,00:00:33.760,00:00:36.280,845,908
10,00:00:36.320,00:00:41.680,909,1043
11,00:00:41.720,00:00:51.880,1044,1298
12,00:00:51.920,00:00:55.880,1299,1398
13,00:00:55.920,00:00:59.920,1399,1499
14,00:00:59.960,00:01:01.400,1500,1536
15,00:01:01.440,00:01:02.680,1537,1568
16,00:01:02.720,00:01:05.160,1569,1630
17,00:01:05.200,00:01:10.640,1631,1767
18,00:01:10.680,00:01:12.560,1768,1815
19,00:01:12.600,00:01:14.040,1816,1852
20,00:01:14.080,00:01:16.280,1853,1908
21,00:01:16.320,00:01:25.200,1909,2131
22,00:01:25.240,00:01:29.760,2132,2245
23,00:01:29.800,00:01:35.280,2246,2383
24,00:01:35.320,00:01:39.000,2384,2476
25,00:01:39.040,00:01:40.680,2477,2518
26,00:01:40.720,00:01:42.960,2519,2575
27,00:01:43.000,00:01:45.640,2576,2642
28,00:01:45.680,00:01:49.520,2643,2739
29,00:01:49.560,00:01:52.120,2740,2804
30,00:01:52.160,00:01:55.240,2805,2882
