No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.000,1,76
2,00:00:03.040,00:00:07.960,77,200
3,00:00:08.000,00:00:13.120,201,329
4,00:00:13.160,00:00:15.480,330,388
5,00:00:15.520,00:00:23.360,389,585
6,00:00:23.400,00:00:32.440,586,812
7,00:00:32.480,00:00:35.600,813,891
8,00:00:35.640,00:00:42.280,892,1058
9,00:00:42.320,00:00:43.840,1059,1097
10,00:00:43.880,00:00:46.560,1098,1165
11,00:00:46.600,00:00:58.760,1166,1470
12,00:00:58.800,00:01:05.840,1471,1647
13,00:01:05.880,00:01:11.480,1648,1788
