No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:13.320,1,334
2,00:00:13.360,00:00:17.080,335,428
3,00:00:17.120,00:00:20.040,429,502
4,00:00:20.080,00:00:22.480,503,563
5,00:00:22.520,00:00:25.760,564,645
6,00:00:25.800,00:00:28.840,646,722
7,00:00:28.880,00:00:33.640,723,842
8,00:00:33.680,00:00:36.000,843,901
9,00:00:36.040,00:00:38.080,902,953
10,00:00:38.120,00:00:40.680,954,1018
11,00:00:40.720,00:00:43.080,1019,1078
12,00:00:43.120,00:00:44.680,1079,1118
13,00:00:44.720,00:00:46.880,1119,1173
14,00:00:46.920,00:00:49.920,1174,1249
15,00:00:49.960,00:01:01.600,1250,1541
16,00:01:01.640,00:01:04.880,1542,1623
