No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.080,1,103
2,00:00:04.120,00:00:05.880,104,148
3,00:00:05.920,00:00:07.600,149,191
4,00:00:07.640,00:00:11.880,192,298
5,00:00:11.920,00:00:13.720,299,344
6,00:00:13.760,00:00:15.360,345,385
7,00:00:15.400,00:00:17.560,386,440
8,00:00:17.600,00:00:18.840,441,472
9,00:00:18.880,00:00:20.160,473,505
10,00:00:20.200,00:00:21.760,506,545
11,00:00:21.800,00:00:23.840,546,597
12,00:00:23.880,00:00:25.800,598,646
13,00:00:25.840,00:00:27.560,647,690
14,00:00:27.600,00:00:31.440,691,787
15,00:00:31.480,00:00:33.320,788,834
16,00:00:33.360,00:00:44.080,835,1103
17,00:00:44.120,00:00:45.800,1104,1146
18,00:00:45.840,00:00:48.920,1147,1224
19,00:00:48.960,00:00:50.920,1225,1274
20,00:00:50.960,00:00:52.800,1275,1321
21,00:00:52.840,00:00:54.360,1322,1360
22,00:00:54.400,00:00:56.280,1361,1408
23,00:00:56.320,00:01:00.240,1409,1507
24,00:01:00.280,00:01:04.040,1508,1602
25,00:01:04.080,00:01:05.480,1603,1638
26,00:01:05.520,00:01:07.840,1639,1697
27,00:01:07.880,00:01:09.240,1698,1732
28,00:01:09.280,00:01:12.760,1733,1820
29,00:01:12.800,00:01:14.480,1821,1863
30,00:01:14.520,00:01:18.000,1864,1951
31,00:01:18.040,00:01:19.920,1952,1999
32,00:01:19.960,00:01:20.520,2000,2014
33,00:01:20.560,00:01:23.040,2015,2077
34,00:01:23.080,00:01:25.040,2078,2127
35,00:01:25.080,00:01:28.000,2128,2201
36,00:01:28.040,00:01:29.440,2202,2237
37,00:01:29.480,00:01:31.800,2238,2296
38,00:01:31.840,00:01:32.880,2297,2323
39,00:01:32.920,00:01:34.600,2324,2366
40,00:01:34.640,00:01:39.120,2367,2479
41,00:01:39.160,00:01:41.440,2480,2537
42,00:01:41.480,00:01:44.080,2538,2603
43,00:01:44.120,00:01:46.920,2604,2674
44,00:01:46.960,00:01:48.320,2675,2709
45,00:01:48.360,00:01:51.800,2710,2796
46,00:01:51.840,00:01:54.440,2797,2862
47,00:01:54.480,00:01:55.840,2863,2897
48,00:01:55.880,00:01:57.680,2898,2943
49,00:01:57.720,00:01:59.120,2944,2979
50,00:01:59.160,00:02:01.520,2980,3039
51,00:02:01.560,00:02:03.920,3040,3099
52,00:02:03.960,00:02:07.880,3100,3198
53,00:02:07.920,00:02:09.640,3199,3242
54,00:02:09.680,00:02:11.160,3243,3280
55,00:02:11.200,00:02:14.440,3281,3362
56,00:02:14.480,00:02:17.800,3363,3446
57,00:02:17.840,00:02:19.240,3447,3482
58,00:02:19.280,00:02:20.880,3483,3523
59,00:02:20.920,00:02:23.520,3524,3589
60,00:02:23.560,00:02:25.240,3590,3632
61,00:02:25.280,00:02:27.120,3633,3679
62,00:02:27.160,00:02:29.400,3680,3736
63,00:02:29.440,00:02:30.680,3737,3768
64,00:02:30.720,00:02:32.440,3769,3812
65,00:02:32.480,00:02:34.120,3813,3854
66,00:02:34.160,00:02:41.280,3855,4033
67,00:02:41.320,00:02:46.120,4034,4154
68,00:02:46.160,00:02:47.200,4155,4181
69,00:02:47.240,00:02:49.520,4182,4239
70,00:02:49.560,00:02:51.240,4240,4282
71,00:02:51.280,00:02:54.320,4283,4359
72,00:02:54.360,00:02:55.640,4360,4392
73,00:02:55.680,00:02:57.040,4393,4427
74,00:02:57.080,00:02:59.040,4428,4477
75,00:02:59.080,00:03:00.800,4478,4521
76,00:03:00.840,00:03:01.440,4522,4537
