No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.360,1,10
2,00:00:00.400,00:00:01.720,11,44
3,00:00:01.760,00:00:11.920,45,299
4,00:00:11.960,00:00:13.800,300,346
5,00:00:13.840,00:00:16.000,347,401
6,00:00:16.040,00:00:19.200,402,481
7,00:00:19.240,00:00:22.520,482,564
8,00:00:22.560,00:00:25.200,565,631
9,00:00:25.240,00:00:28.040,632,702
10,00:00:28.080,00:00:28.920,703,724
11,00:00:28.960,00:00:35.320,725,884
12,00:00:35.360,00:00:36.480,885,913
13,00:00:36.520,00:00:38.760,914,970
14,00:00:38.800,00:00:40.800,971,1021
15,00:00:40.840,00:00:42.160,1022,1055
16,00:00:42.200,00:00:45.840,1056,1147
17,00:00:45.880,00:00:49.120,1148,1229
18,00:00:49.160,00:00:50.880,1230,1273
19,00:00:50.920,00:00:52.680,1274,1318
20,00:00:52.720,00:00:54.440,1319,1362
21,00:00:54.480,00:01:19.720,1363,1994
22,00:01:19.760,00:01:21.680,1995,2043
23,00:01:21.720,00:01:25.720,2044,2144
24,00:01:25.760,00:01:29.880,2145,2248
25,00:01:29.920,00:01:35.560,2249,2390
26,00:01:35.600,00:01:37.920,2391,2449
27,00:01:37.960,00:01:39.480,2450,2488
28,00:01:39.520,00:02:14.920,2489,3374
29,00:02:14.960,00:02:16.600,3375,3416
30,00:02:16.640,00:02:18.880,3417,3473
31,00:02:18.920,00:02:27.280,3474,3683
32,00:02:27.320,00:02:29.640,3684,3742
33,00:02:29.680,00:02:33.360,3743,3835
34,00:02:33.400,00:02:35.760,3836,3895
35,00:02:35.800,00:02:41.520,3896,4039
36,00:02:41.560,00:02:43.840,4040,4097
37,00:02:43.880,00:02:45.600,4098,4141
38,00:02:45.640,00:02:49.120,4142,4229
39,00:02:49.160,00:03:17.640,4230,4942
40,00:03:17.680,00:03:20.120,4943,5004
41,00:03:20.160,00:03:21.960,5005,5050
