No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.200,1,106
2,00:00:04.240,00:00:06.240,107,157
3,00:00:06.280,00:00:08.560,158,215
4,00:00:08.600,00:00:11.000,216,276
5,00:00:11.040,00:00:17.360,277,435
6,00:00:17.400,00:00:29.640,436,742
7,00:00:29.680,00:00:32.320,743,809
8,00:00:32.360,00:00:35.040,810,877
9,00:00:35.080,00:00:37.280,878,933
10,00:00:37.320,00:00:40.880,934,1023
11,00:00:40.920,00:01:09.640,1024,1742
12,00:01:09.680,00:01:17.720,1743,1944
13,00:01:17.760,00:01:20.680,1945,2018
14,00:01:20.720,00:01:23.120,2019,2079
15,00:01:23.160,00:01:28.880,2080,2223
16,00:01:28.920,00:01:34.280,2224,2358
17,00:01:34.320,00:02:11.040,2359,3277
18,00:02:11.080,00:02:37.160,3278,3930
19,00:02:37.200,00:02:59.960,3931,4500
20,00:03:00.000,00:03:11.640,4501,4792
21,00:03:11.680,00:03:30.120,4793,5254
22,00:03:30.160,00:03:31.040,5255,5277
