No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.760,1,145
2,00:00:05.800,00:00:09.400,146,236
3,00:00:09.440,00:00:17.760,237,445
4,00:00:17.800,00:00:19.760,446,495
5,00:00:19.800,00:00:25.040,496,627
6,00:00:25.080,00:00:26.840,628,672
7,00:00:26.880,00:00:28.600,673,716
8,00:00:28.640,00:00:32.720,717,819
9,00:00:32.760,00:00:35.080,820,878
10,00:00:35.120,00:00:36.960,879,925
11,00:00:37.000,00:00:39.560,926,990
12,00:00:39.600,00:00:47.880,991,1198
13,00:00:47.920,00:00:52.040,1199,1302
14,00:00:52.080,00:00:57.480,1303,1438
15,00:00:57.520,00:01:04.200,1439,1606
16,00:01:04.240,00:01:08.440,1607,1712
17,00:01:08.480,00:01:16.360,1713,1910
18,00:01:16.400,00:01:19.880,1911,1998
19,00:01:19.920,00:01:24.320,1999,2109
20,00:01:24.360,00:01:27.880,2110,2198
21,00:01:27.920,00:01:31.520,2199,2289
22,00:01:31.560,00:01:42.240,2290,2557
23,00:01:42.280,00:01:48.440,2558,2712
24,00:01:48.480,00:01:52.240,2713,2807
25,00:01:52.280,00:01:55.000,2808,2876
26,00:01:55.040,00:01:56.920,2877,2924
27,00:01:56.960,00:01:58.720,2925,2969
28,00:01:58.760,00:02:00.400,2970,3011
29,00:02:00.440,00:02:03.880,3012,3098
30,00:02:03.920,00:02:06.120,3099,3154
31,00:02:06.160,00:02:08.920,3155,3224
32,00:02:08.960,00:02:31.360,3225,3785
