No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.560,1,15
2,00:00:00.600,00:00:07.080,16,178
3,00:00:07.120,00:00:08.880,179,223
4,00:00:08.920,00:00:28.560,224,715
5,00:00:28.600,00:00:31.880,716,798
6,00:00:31.920,00:00:39.760,799,995
7,00:00:39.800,00:00:43.240,996,1082
8,00:00:43.280,00:00:46.360,1083,1160
9,00:00:46.400,00:00:47.200,1161,1181
10,00:00:47.240,00:00:48.080,1182,1203
11,00:00:48.120,00:00:52.720,1204,1319
12,00:00:52.760,00:00:54.040,1320,1352
13,00:00:54.080,00:00:58.200,1353,1456
14,00:00:58.240,00:00:59.400,1457,1486
15,00:00:59.440,00:01:01.240,1487,1532
16,00:01:01.280,00:01:01.800,1533,1546
17,00:01:01.840,00:01:02.600,1547,1566
18,00:01:02.640,00:01:07.920,1567,1699
