No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:11.200,1,281
2,00:00:11.240,00:00:17.280,282,433
3,00:00:17.320,00:00:19.680,434,493
4,00:00:19.720,00:00:22.400,494,561
5,00:00:22.440,00:00:26.400,562,661
6,00:00:26.440,00:00:28.000,662,701
7,00:00:28.040,00:00:28.520,702,714
8,00:00:28.560,00:00:30.040,715,752
9,00:00:30.080,00:00:32.200,753,806
10,00:00:32.240,00:00:34.480,807,863
11,00:00:34.520,00:00:35.680,864,893
12,00:00:35.720,00:00:36.920,894,924
13,00:00:36.960,00:00:38.200,925,956
14,00:00:38.240,00:00:39.160,957,980
15,00:00:39.200,00:00:40.520,981,1014
16,00:00:40.560,00:00:41.400,1015,1036
17,00:00:41.440,00:00:46.440,1037,1162
18,00:00:46.480,00:00:57.960,1163,1450
19,00:00:58.000,00:00:59.280,1451,1483
20,00:00:59.320,00:01:00.920,1484,1524
21,00:01:00.960,00:01:02.120,1525,1554
22,00:01:02.160,00:01:07.760,1555,1695
23,00:01:07.800,00:01:10.520,1696,1764
24,00:01:10.560,00:01:10.560,1765,1765
25,00:01:10.600,00:01:10.600,1766,1766
26,00:01:10.640,00:01:12.600,1767,1816
27,00:01:12.640,00:01:13.960,1817,1850
28,00:01:14.000,00:01:14.960,1851,1875
29,00:01:15.000,00:01:16.560,1876,1915
30,00:01:16.600,00:01:19.120,1916,1979
31,00:01:19.160,00:01:21.280,1980,2033
32,00:01:21.320,00:01:25.120,2034,2129
33,00:01:25.160,00:01:26.800,2130,2171
34,00:01:26.840,00:01:27.840,2172,2197
35,00:01:27.880,00:01:28.480,2198,2213
36,00:01:28.520,00:01:29.880,2214,2248
37,00:01:29.920,00:01:32.960,2249,2325
38,00:01:33.000,00:01:36.320,2326,2409
39,00:01:36.360,00:01:39.200,2410,2481
40,00:01:39.240,00:01:40.480,2482,2513
41,00:01:40.520,00:01:44.160,2514,2605
42,00:01:44.200,00:01:47.160,2606,2680
43,00:01:47.200,00:01:49.480,2681,2738
44,00:01:49.520,00:01:51.520,2739,2789
45,00:01:51.560,00:01:58.520,2790,2964
46,00:01:58.560,00:02:00.800,2965,3021
47,00:02:00.840,00:02:03.120,3022,3079
48,00:02:03.160,00:02:04.440,3080,3112
49,00:02:04.480,00:02:07.720,3113,3194
50,00:02:07.760,00:02:09.000,3195,3226
51,00:02:09.040,00:02:10.080,3227,3253
52,00:02:10.120,00:02:11.280,3254,3283
53,00:02:11.320,00:02:13.640,3284,3342
54,00:02:13.680,00:02:15.560,3343,3390
55,00:02:15.600,00:02:17.640,3391,3442
56,00:02:17.680,00:02:20.480,3443,3513
57,00:02:20.520,00:02:24.800,3514,3621
58,00:02:24.840,00:02:24.840,3622,3622
59,00:02:24.880,00:02:36.400,3623,3911
60,00:02:36.440,00:02:37.920,3912,3949
61,00:02:37.960,00:02:41.280,3950,4033
62,00:02:41.320,00:02:44.120,4034,4104
63,00:02:44.160,00:02:47.680,4105,4193
64,00:02:47.720,00:02:51.520,4194,4289
65,00:02:51.560,00:02:52.440,4290,4312
66,00:02:52.480,00:02:54.000,4313,4351
67,00:02:54.040,00:02:55.160,4352,4380
68,00:02:55.200,00:02:56.920,4381,4424
69,00:02:56.960,00:02:58.840,4425,4472
70,00:02:58.880,00:03:01.040,4473,4527
71,00:03:01.080,00:03:05.240,4528,4632
72,00:03:05.280,00:03:05.600,4633,4641
73,00:03:05.640,00:03:10.040,4642,4752
74,00:03:10.080,00:03:12.320,4753,4809
75,00:03:12.360,00:03:13.680,4810,4843
76,00:03:13.720,00:03:14.920,4844,4874
77,00:03:14.960,00:03:15.640,4875,4892
78,00:03:15.680,00:03:21.440,4893,5037
79,00:03:21.480,00:03:22.680,5038,5068
80,00:03:22.720,00:03:24.360,5069,5110
81,00:03:24.400,00:03:26.120,5111,5154
82,00:03:26.160,00:03:26.960,5155,5175
83,00:03:27.000,00:03:28.720,5176,5219
84,00:03:28.760,00:03:35.160,5220,5380
85,00:03:35.200,00:03:39.400,5381,5486
86,00:03:39.440,00:03:43.200,5487,5581
87,00:03:43.240,00:03:44.600,5582,5616
88,00:03:44.640,00:03:47.160,5617,5680
89,00:03:47.200,00:03:54.600,5681,5866
90,00:03:54.640,00:03:56.080,5867,5903
