No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.760,1,20
2,00:00:00.800,00:00:03.000,21,76
3,00:00:03.040,00:00:05.920,77,149
4,00:00:05.960,00:00:08.560,150,215
5,00:00:08.600,00:00:10.880,216,273
6,00:00:10.920,00:00:13.120,274,329
7,00:00:13.160,00:00:14.800,330,371
8,00:00:14.840,00:00:18.200,372,456
9,00:00:18.240,00:00:24.560,457,615
10,00:00:24.600,00:00:26.520,616,664
11,00:00:26.560,00:00:29.080,665,728
12,00:00:29.120,00:00:31.720,729,794
13,00:00:31.760,00:00:38.960,795,975
14,00:00:39.000,00:00:44.440,976,1112
15,00:00:44.480,00:00:46.280,1113,1158
16,00:00:46.320,00:00:46.320,1159,1159
17,00:00:46.360,00:00:55.040,1160,1377
18,00:00:55.080,00:01:00.640,1378,1517
19,00:01:00.680,00:01:02.600,1518,1566
20,00:01:02.640,00:01:08.080,1567,1703
21,00:01:08.120,00:01:16.360,1704,1910
