No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.120,1,54
2,00:00:02.160,00:00:04.640,55,117
3,00:00:04.680,00:00:06.680,118,168
4,00:00:06.720,00:00:08.680,169,218
5,00:00:08.720,00:00:10.240,219,257
6,00:00:10.280,00:00:11.440,258,287
7,00:00:11.480,00:00:13.000,288,326
8,00:00:13.040,00:00:16.120,327,404
9,00:00:16.160,00:00:17.760,405,445
10,00:00:17.800,00:00:20.080,446,503
11,00:00:20.120,00:00:21.640,504,542
12,00:00:21.680,00:00:24.720,543,619
13,00:00:24.760,00:00:27.320,620,684
14,00:00:27.360,00:00:29.400,685,736
15,00:00:29.440,00:00:32.360,737,810
16,00:00:32.400,00:00:34.880,811,873
17,00:00:34.920,00:00:36.360,874,910
18,00:00:36.400,00:00:38.720,911,969
