No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:02.720,1,69
2,00:00:02.760,00:00:05.280,70,133
3,00:00:05.320,00:00:10.920,134,274
4,00:00:10.960,00:00:12.240,275,307
5,00:00:12.280,00:00:14.720,308,369
6,00:00:14.760,00:00:17.920,370,449
7,00:00:17.960,00:00:19.720,450,494
8,00:00:19.760,00:00:22.120,495,554
9,00:00:22.160,00:00:24.200,555,606
10,00:00:24.240,00:00:25.880,607,648
11,00:00:25.920,00:00:27.800,649,696
12,00:00:27.840,00:00:28.840,697,722
13,00:00:28.880,00:00:30.840,723,772
14,00:00:30.880,00:00:32.320,773,809
15,00:00:32.360,00:00:36.600,810,916
16,00:00:36.640,00:00:38.520,917,964
17,00:00:38.560,00:00:39.520,965,989
18,00:00:39.560,00:00:41.320,990,1034
19,00:00:41.360,00:00:42.640,1035,1067
20,00:00:42.680,00:00:44.600,1068,1116
21,00:00:44.640,00:00:46.120,1117,1154
22,00:00:46.160,00:00:47.400,1155,1186
23,00:00:47.440,00:00:48.320,1187,1209
24,00:00:48.360,00:00:49.720,1210,1244
25,00:00:49.760,00:00:51.080,1245,1278
26,00:00:51.120,00:00:53.000,1279,1326
27,00:00:53.040,00:00:54.680,1327,1368
28,00:00:54.720,00:00:56.080,1369,1403
29,00:00:56.120,00:00:58.040,1404,1452
30,00:00:58.080,00:00:59.800,1453,1496
31,00:00:59.840,00:01:01.480,1497,1538
32,00:01:01.520,00:01:03.520,1539,1589
33,00:01:03.560,00:01:07.040,1590,1677
34,00:01:07.080,00:01:09.280,1678,1733
35,00:01:09.320,00:01:10.840,1734,1772
36,00:01:10.880,00:01:11.720,1773,1794
37,00:01:11.760,00:01:12.800,1795,1821
38,00:01:12.840,00:01:14.360,1822,1860
39,00:01:14.400,00:01:15.360,1861,1885
40,00:01:15.400,00:01:16.400,1886,1911
41,00:01:16.440,00:01:17.960,1912,1950
42,00:01:18.000,00:01:19.760,1951,1995
