No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.080,1,103
2,00:00:04.120,00:00:08.720,104,219
3,00:00:08.760,00:00:12.000,220,301
4,00:00:12.040,00:00:15.800,302,396
5,00:00:15.840,00:00:18.880,397,473
6,00:00:18.920,00:00:20.760,474,520
7,00:00:20.800,00:00:23.000,521,576
8,00:00:23.040,00:00:24.720,577,619
9,00:00:24.760,00:00:26.920,620,674
10,00:00:26.960,00:00:29.600,675,741
11,00:00:29.640,00:00:32.000,742,801
12,00:00:32.040,00:00:34.240,802,857
13,00:00:34.280,00:00:37.280,858,933
14,00:00:37.320,00:00:40.560,934,1015
15,00:00:40.600,00:00:41.440,1016,1037
16,00:00:41.480,00:00:42.120,1038,1054
17,00:00:42.160,00:00:43.120,1055,1079
18,00:00:43.160,00:00:43.560,1080,1090
