No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.600,1,141
2,00:00:05.640,00:00:07.720,142,194
3,00:00:07.760,00:00:10.720,195,269
4,00:00:10.760,00:00:14.920,270,374
5,00:00:14.960,00:00:16.440,375,412
6,00:00:16.480,00:00:19.040,413,477
7,00:00:19.080,00:00:24.000,478,601
8,00:00:24.040,00:00:28.080,602,703
9,00:00:28.120,00:00:31.840,704,797
10,00:00:31.880,00:00:32.600,798,816
11,00:00:32.640,00:00:35.280,817,883
12,00:00:35.320,00:00:46.880,884,1173
13,00:00:46.920,00:00:52.200,1174,1306
14,00:00:52.240,00:00:56.720,1307,1419
15,00:00:56.760,00:00:59.720,1420,1494
16,00:00:59.760,00:01:06.040,1495,1652
17,00:01:06.080,00:01:08.280,1653,1708
18,00:01:08.320,00:01:24.280,1709,2108
19,00:01:24.320,00:01:28.880,2109,2223
20,00:01:28.920,00:01:36.000,2224,2401
21,00:01:36.040,00:01:41.080,2402,2528
22,00:01:41.120,00:01:44.560,2529,2615
23,00:01:44.600,00:01:50.000,2616,2751
24,00:01:50.040,00:01:52.080,2752,2803
