No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.560,1,40
2,00:00:01.600,00:00:08.520,41,214
3,00:00:08.560,00:00:09.800,215,246
4,00:00:09.840,00:00:12.040,247,302
5,00:00:12.080,00:00:19.960,303,500
6,00:00:20.000,00:00:21.600,501,541
7,00:00:21.640,00:00:24.040,542,602
8,00:00:24.080,00:00:26.160,603,655
9,00:00:26.200,00:00:28.680,656,718
10,00:00:28.720,00:00:30.920,719,774
11,00:00:30.960,00:00:32.680,775,818
12,00:00:32.720,00:00:34.160,819,855
13,00:00:34.200,00:00:35.720,856,894
14,00:00:35.760,00:00:37.560,895,940
15,00:00:37.600,00:00:39.680,941,993
16,00:00:39.720,00:00:41.880,994,1048
17,00:00:41.920,00:00:43.840,1049,1097
18,00:00:43.880,00:00:45.320,1098,1134
19,00:00:45.360,00:00:46.680,1135,1168
20,00:00:46.720,00:00:48.360,1169,1210
21,00:00:48.400,00:00:50.240,1211,1257
22,00:00:50.280,00:00:52.200,1258,1306
