No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.840,1,22
2,00:00:00.880,00:00:04.280,23,108
3,00:00:04.320,00:00:10.960,109,275
4,00:00:11.000,00:00:12.760,276,320
5,00:00:12.800,00:00:16.560,321,415
6,00:00:16.600,00:00:18.400,416,461
7,00:00:18.440,00:00:25.160,462,630
8,00:00:25.200,00:00:31.240,631,782
9,00:00:31.280,00:00:33.720,783,844
10,00:00:33.760,00:00:37.840,845,947
11,00:00:37.880,00:00:40.480,948,1013
12,00:00:40.520,00:00:47.480,1014,1188
13,00:00:47.520,00:00:50.040,1189,1252
14,00:00:50.080,00:00:57.640,1253,1442
15,00:00:57.680,00:01:00.320,1443,1509
16,00:01:00.360,00:01:03.000,1510,1576
17,00:01:03.040,00:01:06.680,1577,1668
18,00:01:06.720,00:01:08.760,1669,1720
19,00:01:08.800,00:01:11.280,1721,1783
20,00:01:11.320,00:01:13.360,1784,1835
21,00:01:13.400,00:01:19.600,1836,1991
22,00:01:19.640,00:01:24.560,1992,2115
23,00:01:24.600,00:01:27.280,2116,2183
