No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.600,1,141
2,00:00:05.640,00:00:16.000,142,401
3,00:00:16.040,00:00:18.000,402,451
4,00:00:18.040,00:00:18.920,452,474
5,00:00:18.960,00:00:22.760,475,570
6,00:00:22.800,00:00:25.360,571,635
7,00:00:25.400,00:00:30.080,636,753
8,00:00:30.120,00:00:32.040,754,802
9,00:00:32.080,00:00:34.920,803,874
10,00:00:34.960,00:00:39.640,875,992
11,00:00:39.680,00:00:41.600,993,1041
12,00:00:41.640,00:00:43.520,1042,1089
13,00:00:43.560,00:00:46.560,1090,1165
14,00:00:46.600,00:00:49.360,1166,1235
15,00:00:49.400,00:00:53.720,1236,1344
16,00:00:53.760,00:00:57.040,1345,1427
17,00:00:57.080,00:01:06.800,1428,1671
18,00:01:06.840,00:01:08.000,1672,1701
19,00:01:08.040,00:01:16.840,1702,1922
20,00:01:16.880,00:01:18.680,1923,1968
21,00:01:18.720,00:01:21.240,1969,2032
