No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:05.400,1,136
2,00:00:05.440,00:00:07.240,137,182
3,00:00:07.280,00:00:08.960,183,225
4,00:00:09.000,00:00:10.440,226,262
5,00:00:10.480,00:00:12.400,263,311
6,00:00:12.440,00:00:17.200,312,431
7,00:00:17.240,00:00:18.200,432,456
8,00:00:18.240,00:00:19.760,457,495
9,00:00:19.800,00:00:22.520,496,564
10,00:00:22.560,00:00:24.880,565,623
11,00:00:24.920,00:00:28.720,624,719
12,00:00:28.760,00:00:30.320,720,759
13,00:00:30.360,00:00:32.560,760,815
14,00:00:32.600,00:00:45.760,816,1145
15,00:00:45.800,00:00:48.000,1146,1201
16,00:00:48.040,00:00:58.600,1202,1466
17,00:00:58.640,00:01:00.320,1467,1509
18,00:01:00.360,00:01:02.480,1510,1563
19,00:01:02.520,00:01:03.720,1564,1594
20,00:01:03.760,00:01:16.320,1595,1909
21,00:01:16.360,00:01:19.080,1910,1978
22,00:01:19.120,00:01:21.920,1979,2049
23,00:01:21.960,00:01:26.280,2050,2158
24,00:01:26.320,00:01:27.480,2159,2188
25,00:01:27.520,00:01:33.160,2189,2330
26,00:01:33.200,00:01:35.880,2331,2398
27,00:01:35.920,00:01:45.480,2399,2638
28,00:01:45.520,00:01:47.000,2639,2676
29,00:01:47.040,00:01:49.640,2677,2742
30,00:01:49.680,00:01:51.480,2743,2788
31,00:01:51.520,00:01:52.560,2789,2815
32,00:01:52.600,00:01:53.920,2816,2849
33,00:01:53.960,00:01:58.280,2850,2958
34,00:01:58.320,00:02:05.760,2959,3145
35,00:02:05.800,00:02:08.160,3146,3205
36,00:02:08.200,00:02:20.520,3206,3514
37,00:02:20.560,00:02:23.720,3515,3594
38,00:02:23.760,00:02:25.040,3595,3627
39,00:02:25.080,00:02:26.640,3628,3667
40,00:02:26.680,00:02:27.480,3668,3688
41,00:02:27.520,00:02:30.880,3689,3773
42,00:02:30.920,00:02:32.640,3774,3817
43,00:02:32.680,00:02:40.440,3818,4012
44,00:02:40.480,00:02:44.080,4013,4103
45,00:02:44.120,00:02:47.720,4104,4194
46,00:02:47.760,00:02:49.360,4195,4235
47,00:02:49.400,00:02:52.560,4236,4315
48,00:02:52.600,00:02:53.960,4316,4350
49,00:02:54.000,00:02:58.560,4351,4465
50,00:02:58.600,00:03:01.440,4466,4537
51,00:03:01.480,00:03:06.080,4538,4653
52,00:03:06.120,00:03:08.840,4654,4722
53,00:03:08.880,00:03:12.160,4723,4805
54,00:03:12.200,00:03:15.440,4806,4887
55,00:03:15.480,00:03:21.960,4888,5050
56,00:03:22.000,00:03:24.160,5051,5105
57,00:03:24.200,00:03:28.920,5106,5224
58,00:03:28.960,00:03:31.640,5225,5292
59,00:03:31.680,00:03:36.440,5293,5412
60,00:03:36.480,00:03:42.040,5413,5552
61,00:03:42.080,00:03:45.200,5553,5631
62,00:03:45.240,00:03:47.240,5632,5682
63,00:03:47.280,00:03:50.080,5683,5753
64,00:03:50.120,00:03:52.600,5754,5816
65,00:03:52.640,00:03:55.480,5817,5888
66,00:03:55.520,00:03:58.120,5889,5954
67,00:03:58.160,00:04:00.440,5955,6012
68,00:04:00.480,00:04:03.360,6013,6085
69,00:04:03.400,00:04:04.120,6086,6104
