No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:09.920,1,249
2,00:00:09.960,00:00:13.360,250,335
3,00:00:13.400,00:00:31.200,336,781
4,00:00:31.240,00:00:34.200,782,856
5,00:00:34.240,00:00:50.320,857,1259
6,00:00:50.360,00:00:52.680,1260,1318
7,00:00:52.720,00:00:56.280,1319,1408
8,00:00:56.320,00:00:59.520,1409,1489
9,00:00:59.560,00:01:19.000,1490,1976
10,00:01:19.040,00:01:22.920,1977,2074
11,00:01:22.960,00:01:26.680,2075,2168
12,00:01:26.720,00:01:29.720,2169,2244
13,00:01:29.760,00:01:55.240,2245,2882
14,00:01:55.280,00:01:57.320,2883,2934
15,00:01:57.360,00:02:02.640,2935,3067
16,00:02:02.680,00:02:05.160,3068,3130
17,00:02:05.200,00:02:36.880,3131,3923
18,00:02:36.920,00:02:39.960,3924,4000
19,00:02:40.000,00:02:48.360,4001,4210
20,00:02:48.400,00:02:51.400,4211,4286
21,00:02:51.440,00:03:11.840,4287,4797
22,00:03:11.880,00:03:13.040,4798,4827
23,00:03:13.080,00:03:16.280,4828,4908
24,00:03:16.320,00:03:20.720,4909,5019
25,00:03:20.760,00:03:22.120,5020,5054
26,00:03:22.160,00:03:22.320,5055,5059
