No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.600,1,91
2,00:00:03.640,00:00:06.640,92,167
3,00:00:06.680,00:00:10.080,168,253
4,00:00:10.120,00:00:14.360,254,360
5,00:00:14.400,00:00:15.840,361,397
6,00:00:15.880,00:00:22.840,398,572
7,00:00:22.880,00:00:24.640,573,617
8,00:00:24.680,00:00:25.800,618,646
9,00:00:25.840,00:00:27.160,647,680
10,00:00:27.200,00:00:28.640,681,717
11,00:00:28.680,00:00:31.040,718,777
12,00:00:31.080,00:00:31.880,778,798
13,00:00:31.920,00:00:33.080,799,828
14,00:00:33.120,00:00:34.200,829,856
15,00:00:34.240,00:00:36.000,857,901
16,00:00:36.040,00:00:39.840,902,997
17,00:00:39.880,00:00:42.680,998,1068
18,00:00:42.720,00:00:47.080,1069,1178
19,00:00:47.120,00:00:50.040,1179,1252
20,00:00:50.080,00:00:53.040,1253,1327
21,00:00:53.080,00:00:56.480,1328,1413
22,00:00:56.520,00:00:59.160,1414,1480
23,00:00:59.200,00:01:01.480,1481,1538
24,00:01:01.520,00:01:04.800,1539,1621
25,00:01:04.840,00:01:08.320,1622,1709
26,00:01:08.360,00:01:10.000,1710,1751
27,00:01:10.040,00:01:11.400,1752,1786
28,00:01:11.440,00:01:12.840,1787,1822
29,00:01:12.880,00:01:14.040,1823,1852
30,00:01:14.080,00:01:15.680,1853,1893
31,00:01:15.720,00:01:17.360,1894,1935
32,00:01:17.400,00:01:18.480,1936,1963
33,00:01:18.520,00:01:23.800,1964,2096
34,00:01:23.840,00:01:29.080,2097,2228
35,00:01:29.120,00:01:32.640,2229,2317
36,00:01:32.680,00:01:38.680,2318,2468
37,00:01:38.720,00:01:41.840,2469,2547
38,00:01:41.880,00:01:47.840,2548,2697
39,00:01:47.880,00:01:50.760,2698,2770
40,00:01:50.800,00:01:56.560,2771,2915
41,00:01:56.600,00:01:57.880,2916,2948
42,00:01:57.920,00:02:02.880,2949,3073
43,00:02:02.920,00:02:03.800,3074,3096
44,00:02:03.840,00:02:05.360,3097,3135
45,00:02:05.400,00:02:07.080,3136,3178
46,00:02:07.120,00:02:08.680,3179,3218
47,00:02:08.720,00:02:10.200,3219,3256
48,00:02:10.240,00:02:13.840,3257,3347
49,00:02:13.880,00:02:17.160,3348,3430
50,00:02:17.200,00:02:19.280,3431,3483
51,00:02:19.320,00:02:21.720,3484,3544
52,00:02:21.760,00:02:23.680,3545,3593
53,00:02:23.720,00:02:25.720,3594,3644
54,00:02:25.760,00:02:27.520,3645,3689
55,00:02:27.560,00:02:32.840,3690,3822
56,00:02:32.880,00:02:33.800,3823,3846
57,00:02:33.840,00:02:35.800,3847,3896
58,00:02:35.840,00:02:37.560,3897,3940
59,00:02:37.600,00:02:39.440,3941,3987
60,00:02:39.480,00:02:53.840,3988,4347
61,00:02:53.880,00:02:55.120,4348,4379
62,00:02:55.160,00:03:09.040,4380,4727
63,00:03:09.080,00:03:11.240,4728,4782
64,00:03:11.280,00:03:15.440,4783,4887
65,00:03:15.480,00:03:17.240,4888,4932
66,00:03:17.280,00:03:30.920,4933,5274
67,00:03:30.960,00:03:34.440,5275,5362
68,00:03:34.480,00:03:37.960,5363,5450
69,00:03:38.000,00:03:41.120,5451,5529
70,00:03:41.160,00:03:51.000,5530,5776
71,00:03:51.040,00:03:53.560,5777,5840
72,00:03:53.600,00:03:59.800,5841,5996
73,00:03:59.840,00:04:03.280,5997,6083
74,00:04:03.320,00:04:07.200,6084,6181
75,00:04:07.240,00:04:12.720,6182,6319
76,00:04:12.760,00:04:15.560,6320,6390
77,00:04:15.600,00:04:17.240,6391,6432
78,00:04:17.280,00:04:20.360,6433,6510
79,00:04:20.400,00:04:22.800,6511,6571
80,00:04:22.840,00:04:22.880,6572,6573
