No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.680,1,18
2,00:00:00.720,00:00:08.680,19,218
3,00:00:08.720,00:00:20.960,219,525
4,00:00:21.000,00:00:24.040,526,602
5,00:00:24.080,00:00:25.240,603,632
6,00:00:25.280,00:00:32.440,633,812
7,00:00:32.480,00:00:34.600,813,866
8,00:00:34.640,00:00:37.200,867,931
9,00:00:37.240,00:00:38.600,932,966
10,00:00:38.640,00:00:46.680,967,1168
11,00:00:46.720,00:00:49.360,1169,1235
12,00:00:49.400,00:00:52.120,1236,1304
13,00:00:52.160,00:00:55.360,1305,1385
14,00:00:55.400,00:00:59.960,1386,1500
15,00:01:00.000,00:01:03.560,1501,1590
16,00:01:03.600,00:01:17.280,1591,1933
17,00:01:17.320,00:01:19.680,1934,1993
18,00:01:19.720,00:01:22.120,1994,2054
19,00:01:22.160,00:01:24.000,2055,2101
20,00:01:24.040,00:01:30.760,2102,2270
21,00:01:30.800,00:01:31.760,2271,2295
22,00:01:31.800,00:01:35.000,2296,2376
23,00:01:35.040,00:01:36.720,2377,2419
24,00:01:36.760,00:01:38.720,2420,2469
25,00:01:38.760,00:01:40.080,2470,2503
26,00:01:40.120,00:01:52.600,2504,2816
27,00:01:52.640,00:01:54.280,2817,2858
28,00:01:54.320,00:01:57.040,2859,2927
29,00:01:57.080,00:02:00.760,2928,3020
30,00:02:00.800,00:02:01.880,3021,3048
31,00:02:01.920,00:02:05.400,3049,3136
32,00:02:05.440,00:02:06.560,3137,3165
33,00:02:06.600,00:02:07.840,3166,3197
34,00:02:07.880,00:02:10.520,3198,3264
35,00:02:10.560,00:02:27.280,3265,3683
36,00:02:27.320,00:02:29.560,3684,3740
37,00:02:29.600,00:02:41.040,3741,4027
38,00:02:41.080,00:02:43.000,4028,4076
39,00:02:43.040,00:02:53.240,4077,4332
40,00:02:53.280,00:03:01.040,4333,4527
41,00:03:01.080,00:03:08.120,4528,4704
