No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:03.320,1,84
2,00:00:03.360,00:00:07.080,85,178
3,00:00:07.120,00:00:11.280,179,283
4,00:00:11.320,00:00:13.880,284,348
5,00:00:13.920,00:00:15.640,349,392
6,00:00:15.680,00:00:21.200,393,531
7,00:00:21.240,00:00:24.360,532,610
8,00:00:24.400,00:00:30.160,611,755
9,00:00:30.200,00:00:31.240,756,782
10,00:00:31.280,00:00:33.720,783,844
11,00:00:33.760,00:00:40.000,845,1001
12,00:00:40.040,00:00:43.160,1002,1080
13,00:00:43.200,00:00:45.960,1081,1150
14,00:00:46.000,00:00:49.120,1151,1229
15,00:00:49.160,00:00:51.680,1230,1293
16,00:00:51.720,00:00:53.480,1294,1338
17,00:00:53.520,00:00:55.760,1339,1395
18,00:00:55.800,00:00:58.040,1396,1452
19,00:00:58.080,00:00:59.000,1453,1476
20,00:00:59.040,00:01:16.200,1477,1906
21,00:01:16.240,00:01:20.720,1907,2019
22,00:01:20.760,00:01:22.680,2020,2068
23,00:01:22.720,00:01:25.880,2069,2148
24,00:01:25.920,00:01:30.200,2149,2256
25,00:01:30.240,00:01:34.360,2257,2360
26,00:01:34.400,00:01:37.200,2361,2431
27,00:01:37.240,00:01:38.800,2432,2471
28,00:01:38.840,00:01:40.240,2472,2507
29,00:01:40.280,00:01:41.480,2508,2538
30,00:01:41.520,00:01:44.960,2539,2625
31,00:01:45.000,00:01:46.560,2626,2665
32,00:01:46.600,00:01:48.040,2666,2702
33,00:01:48.080,00:01:53.080,2703,2828
34,00:01:53.120,00:01:59.680,2829,2993
35,00:01:59.720,00:02:02.760,2994,3070
36,00:02:02.800,00:02:04.760,3071,3120
37,00:02:04.800,00:02:06.640,3121,3167
38,00:02:06.680,00:02:08.760,3168,3220
39,00:02:08.800,00:02:10.960,3221,3275
40,00:02:11.000,00:02:12.120,3276,3304
41,00:02:12.160,00:02:16.360,3305,3410
42,00:02:16.400,00:02:18.080,3411,3453
43,00:02:18.120,00:02:19.480,3454,3488
44,00:02:19.520,00:02:21.480,3489,3538
45,00:02:21.520,00:02:24.200,3539,3606
46,00:02:24.240,00:02:26.200,3607,3656
47,00:02:26.240,00:02:28.120,3657,3704
48,00:02:28.160,00:02:30.320,3705,3759
49,00:02:30.360,00:02:32.280,3760,3808
50,00:02:32.320,00:02:34.720,3809,3869
51,00:02:34.760,00:02:38.080,3870,3953
52,00:02:38.120,00:02:39.880,3954,3998
53,00:02:39.920,00:02:42.520,3999,4064
54,00:02:42.560,00:02:46.520,4065,4164
55,00:02:46.560,00:02:47.920,4165,4199
56,00:02:47.960,00:02:48.200,4200,4206
57,00:02:48.240,00:02:49.600,4207,4241
58,00:02:49.640,00:02:50.600,4242,4266
59,00:02:50.640,00:02:51.640,4267,4292
60,00:02:51.680,00:02:52.720,4293,4319
61,00:02:52.760,00:03:07.520,4320,4689
62,00:03:07.560,00:03:07.840,4690,4697
