No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.480,1,38
2,00:00:01.520,00:00:03.600,39,91
3,00:00:03.640,00:00:05.720,92,144
4,00:00:05.760,00:00:07.240,145,182
5,00:00:07.280,00:00:08.400,183,211
6,00:00:08.440,00:00:10.080,212,253
7,00:00:10.120,00:00:11.760,254,295
8,00:00:11.800,00:00:17.360,296,435
9,00:00:17.400,00:00:20.640,436,517
10,00:00:20.680,00:00:26.560,518,665
11,00:00:26.600,00:00:28.400,666,711
12,00:00:28.440,00:00:31.520,712,789
13,00:00:31.560,00:00:33.440,790,837
14,00:00:33.480,00:00:34.800,838,871
15,00:00:34.840,00:00:37.520,872,939
16,00:00:37.560,00:00:45.880,940,1148
17,00:00:45.920,00:00:51.760,1149,1295
18,00:00:51.800,00:00:55.080,1296,1378
19,00:00:55.120,00:01:01.160,1379,1530
20,00:01:01.200,00:01:03.400,1531,1586
21,00:01:03.440,00:01:05.640,1587,1642
22,00:01:05.680,00:01:10.560,1643,1765
23,00:01:10.600,00:01:15.040,1766,1877
24,00:01:15.080,00:01:17.480,1878,1938
25,00:01:17.520,00:01:18.680,1939,1968
26,00:01:18.720,00:01:28.040,1969,2202
27,00:01:28.080,00:01:30.720,2203,2269
28,00:01:30.760,00:01:32.440,2270,2312
29,00:01:32.480,00:01:34.840,2313,2372
30,00:01:34.880,00:01:36.480,2373,2413
31,00:01:36.520,00:01:38.640,2414,2467
32,00:01:38.680,00:01:42.320,2468,2559
33,00:01:42.360,00:01:47.360,2560,2685
34,00:01:47.400,00:01:52.080,2686,2803
35,00:01:52.120,00:01:56.160,2804,2905
36,00:01:56.200,00:01:58.040,2906,2952
37,00:01:58.080,00:02:02.160,2953,3055
38,00:02:02.200,00:02:17.600,3056,3441
39,00:02:17.640,00:02:22.400,3442,3561
40,00:02:22.440,00:02:23.200,3562,3581
41,00:02:23.240,00:02:26.640,3582,3667
42,00:02:26.680,00:02:28.360,3668,3710
43,00:02:28.400,00:02:32.920,3711,3824
44,00:02:32.960,00:02:35.480,3825,3888
45,00:02:35.520,00:02:37.320,3889,3934
46,00:02:37.360,00:02:40.520,3935,4014
47,00:02:40.560,00:02:48.600,4015,4216
48,00:02:48.640,00:02:51.840,4217,4297
49,00:02:51.880,00:02:54.480,4298,4363
50,00:02:54.520,00:02:58.880,4364,4473
51,00:02:58.920,00:03:05.160,4474,4630
