No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.880,1,48
2,00:00:01.920,00:00:05.000,49,126
3,00:00:05.040,00:00:09.320,127,234
4,00:00:09.360,00:00:10.840,235,272
5,00:00:10.880,00:00:13.240,273,332
6,00:00:13.280,00:00:17.160,333,430
7,00:00:17.200,00:00:19.960,431,500
8,00:00:20.000,00:00:22.040,501,552
9,00:00:22.080,00:00:26.720,553,669
10,00:00:26.760,00:00:29.040,670,727
11,00:00:29.080,00:00:31.360,728,785
12,00:00:31.400,00:00:35.960,786,900
13,00:00:36.000,00:01:01.120,901,1529
14,00:01:01.160,00:01:14.040,1530,1852
15,00:01:14.080,00:01:43.040,1853,2577
16,00:01:43.080,00:01:56.200,2578,2906
17,00:01:56.240,00:02:14.680,2907,3368
18,00:02:14.720,00:02:19.480,3369,3488
19,00:02:19.520,00:02:25.200,3489,3631
20,00:02:25.240,00:02:27.800,3632,3696
21,00:02:27.840,00:02:43.080,3697,4078
22,00:02:43.120,00:02:56.400,4079,4411
23,00:02:56.440,00:03:00.880,4412,4523
24,00:03:00.920,00:03:04.480,4524,4613
25,00:03:04.520,00:03:07.680,4614,4693
26,00:03:07.720,00:03:09.320,4694,4734
27,00:03:09.360,00:03:10.440,4735,4762
28,00:03:10.480,00:03:11.720,4763,4794
29,00:03:11.760,00:03:11.920,4795,4799
