No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.320,1,9
2,00:00:00.360,00:00:09.200,10,231
3,00:00:09.240,00:00:14.240,232,357
4,00:00:14.280,00:00:18.600,358,466
5,00:00:18.640,00:00:20.840,467,522
6,00:00:20.880,00:00:23.480,523,588
7,00:00:23.520,00:00:25.520,589,639
8,00:00:25.560,00:00:28.680,640,718
9,00:00:28.720,00:00:31.840,719,797
10,00:00:31.880,00:00:33.680,798,843
11,00:00:33.720,00:00:35.360,844,885
12,00:00:35.400,00:00:40.000,886,1001
13,00:00:40.040,00:00:41.400,1002,1036
14,00:00:41.440,00:00:43.480,1037,1088
15,00:00:43.520,00:00:50.000,1089,1251
16,00:00:50.040,00:00:52.040,1252,1302
17,00:00:52.080,00:00:56.080,1303,1403
18,00:00:56.120,00:01:12.600,1404,1816
19,00:01:12.640,00:01:14.760,1817,1870
20,00:01:14.800,00:01:18.320,1871,1959
21,00:01:18.360,00:01:22.360,1960,2060
22,00:01:22.400,00:01:24.480,2061,2113
