No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:00.720,1,19
2,00:00:00.760,00:00:01.960,20,50
3,00:00:02.000,00:00:03.080,51,78
4,00:00:03.120,00:00:04.280,79,108
5,00:00:04.320,00:00:05.880,109,148
6,00:00:05.920,00:00:07.520,149,189
7,00:00:07.560,00:00:10.720,190,269
8,00:00:10.760,00:00:12.720,270,319
9,00:00:12.760,00:00:16.280,320,408
10,00:00:16.320,00:00:18.680,409,468
11,00:00:18.720,00:00:21.960,469,550
12,00:00:22.000,00:00:22.960,551,575
13,00:00:23.000,00:00:25.280,576,633
14,00:00:25.320,00:00:26.800,634,671
15,00:00:26.840,00:00:27.960,672,700
16,00:00:28.000,00:00:30.000,701,751
17,00:00:30.040,00:00:31.760,752,795
18,00:00:31.800,00:00:33.160,796,830
19,00:00:33.200,00:00:34.480,831,863
20,00:00:34.520,00:00:36.120,864,904
21,00:00:36.160,00:00:36.160,905,905
