No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.880,1,48
2,00:00:01.920,00:00:02.160,49,55
3,00:00:02.200,00:00:04.080,56,103
4,00:00:04.120,00:00:06.240,104,157
5,00:00:06.280,00:00:09.760,158,245
6,00:00:09.800,00:00:10.280,246,258
7,00:00:10.320,00:00:10.760,259,270
8,00:00:10.800,00:00:11.280,271,283
9,00:00:11.320,00:00:12.520,284,314
10,00:00:12.560,00:00:15.840,315,397
11,00:00:15.880,00:00:17.560,398,440
12,00:00:17.600,00:00:20.120,441,504
13,00:00:20.160,00:00:22.040,505,552
14,00:00:22.080,00:00:26.160,553,655
15,00:00:26.200,00:00:27.040,656,677
