No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:04.200,1,106
2,00:00:04.240,00:00:07.520,107,189
3,00:00:07.560,00:00:10.080,190,253
4,00:00:10.120,00:00:14.400,254,361
5,00:00:14.440,00:00:16.400,362,411
6,00:00:16.440,00:00:17.280,412,433
7,00:00:17.320,00:00:31.160,434,780
8,00:00:31.200,00:00:31.840,781,797
9,00:00:31.880,00:00:33.840,798,847
10,00:00:33.880,00:00:40.280,848,1008
11,00:00:40.320,00:00:44.280,1009,1108
12,00:00:44.320,00:00:45.600,1109,1141
13,00:00:45.640,00:00:51.400,1142,1286
