No,Timecode In,Timecode Out,Frame In,Frame Out
1,00:00:00.000,00:00:01.680,1,43
2,00:00:01.720,00:00:06.480,44,163
3,00:00:06.520,00:00:07.840,164,197
4,00:00:07.880,00:00:11.440,198,287
5,00:00:11.480,00:00:13.280,288,333
6,00:00:13.320,00:00:14.440,334,362
7,00:00:14.480,00:00:19.200,363,481
8,00:00:19.240,00:00:21.800,482,546
9,00:00:21.840,00:00:26.560,547,665
10,00:00:26.600,00:00:28.800,666,721
11,00:00:28.840,00:00:30.640,722,767
12,00:00:30.680,00:00:36.240,768,907
13,00:00:36.280,00:00:40.960,908,1025
14,00:00:41.000,00:00:50.280,1026,1258
15,00:00:50.320,00:01:12.920,1259,1824
